Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;6,800;20;18,688;126,721,060;6,800;6,800;6,760;2,945,509;2,945,509
2025-09-18;6,780;20;8,963;60,893,000;6,800;6,800;6,780;2,936,845;2,936,845
2025-09-17;6,800;20;58,550;396,670,800;6,760;6,800;6,740;2,945,509;2,945,509
2025-09-16;6,780;0;34,916;236,612,100;6,780;6,780;6,760;2,936,845;2,936,845
2025-09-15;6,780;20;20,671;140,077,140;6,780;6,800;6,760;2,936,845;2,936,845
2025-09-12;6,800;40;41,220;279,433,840;6,760;6,800;6,760;2,945,509;2,945,509
2025-09-11;6,760;20;12,516;84,455,340;6,760;6,760;6,720;2,928,182;2,928,182
2025-09-10;6,740;20;9,614;64,916,820;6,760;6,760;6,740;2,919,519;2,919,519
2025-09-09;6,760;0;30,213;204,076,980;6,760;6,760;6,720;2,928,182;2,928,182
2025-09-08;6,760;20;18,215;122,924,520;6,760;6,780;6,740;2,928,182;2,928,182
2025-09-05;6,740;40;26,401;178,434,780;6,780;6,780;6,720;2,919,519;2,919,519
2025-09-04;6,780;0;8,295;56,208,540;6,800;6,800;6,760;2,936,845;2,936,845
2025-09-03;6,780;0;16,639;112,539,540;6,780;6,780;6,740;2,936,845;2,936,845
2025-09-02;6,780;0;6,583;44,551,900;6,760;6,780;6,760;2,936,845;2,936,845
2025-09-01;6,780;0;17,761;119,779,320;6,780;6,800;6,720;2,936,845;2,936,845
2025-08-29;6,780;20;17,120;115,970,420;6,760;6,800;6,760;2,936,845;2,936,845
2025-08-28;6,760;0;21,574;146,132,000;6,760;6,800;6,760;2,928,182;2,928,182
2025-08-27;6,760;20;42,761;289,782,240;6,780;6,800;6,740;2,928,182;2,928,182
2025-08-26;6,780;0;27,327;185,296,460;6,780;6,800;6,760;2,936,845;2,936,845
2025-08-25;6,780;20;23,623;160,237,520;6,800;6,820;6,760;2,936,845;2,936,845
2025-08-22;6,800;0;12,962;88,228,260;6,820;6,820;6,780;2,945,509;2,945,509
2025-08-21;6,800;40;23,714;161,430,460;6,840;6,840;6,780;2,945,509;2,945,509
2025-08-20;6,840;0;13,567;92,776,240;6,840;6,860;6,820;2,962,835;2,962,835
2025-08-19;6,840;20;10,714;73,162,460;6,840;6,860;6,820;2,962,835;2,962,835
2025-08-18;6,860;20;18,504;126,333,680;6,840;6,860;6,800;2,971,498;2,971,498
2025-08-15;6,840;0;7,679;52,514,060;6,840;6,860;6,820;2,962,835;2,962,835
2025-08-14;6,840;0;29,829;203,628,000;6,860;6,860;6,800;2,962,835;2,962,835
2025-08-13;6,840;20;17,964;123,069,700;6,860;6,860;6,840;2,962,835;2,962,835
2025-08-12;6,860;20;34,555;236,346,960;6,840;6,860;6,820;2,971,498;2,971,498
2025-08-11;6,840;20;28,147;193,068,860;6,860;6,880;6,840;2,962,835;2,962,835
2025-08-08;6,860;20;5,787;39,653,020;6,860;6,860;6,840;2,971,498;2,971,498
2025-08-07;6,840;0;10,759;73,621,540;6,860;6,860;6,840;2,962,835;2,962,835
2025-08-06;6,840;0;15,662;107,139,820;6,840;6,860;6,820;2,962,835;2,962,835
2025-08-05;6,840;0;13,753;94,116,180;6,860;6,880;6,840;2,962,835;2,962,835
2025-08-04;6,840;60;21,303;146,179,700;6,900;6,900;6,840;2,962,835;2,962,835
2025-08-01;6,900;0;5,853;40,371,700;6,880;6,920;6,880;2,988,825;2,988,825
2025-07-31;6,900;40;24,903;171,095,740;6,860;6,900;6,840;2,988,825;2,988,825
2025-07-30;6,860;20;14,505;99,793,920;6,880;6,900;6,860;2,971,498;2,971,498
2025-07-29;6,880;0;19,305;133,033,480;6,880;6,920;6,860;2,980,162;2,980,162
2025-07-28;6,880;0;38,059;261,362,180;6,860;6,880;6,840;2,980,162;2,980,162
2025-07-25;6,880;0;43,611;299,443,400;6,880;6,880;6,840;2,980,162;2,980,162
2025-07-24;6,880;40;38,240;263,491,140;6,900;6,920;6,880;2,980,162;2,980,162
