Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;2,430;0;4,742;11,498,630;2,430;2,430;2,420;4,761,029;4,761,029
2025-09-18;2,430;0;1,918;4,654,740;2,430;2,430;2,420;4,761,029;4,761,029
2025-09-17;2,430;0;3,038;7,381,220;2,430;2,430;2,420;4,761,029;4,761,029
2025-09-16;2,430;0;3,391;8,221,260;2,430;2,430;2,420;4,761,029;4,761,029
2025-09-15;2,430;10;12,408;29,838,040;2,440;2,440;2,390;4,761,029;4,761,029
2025-09-12;2,440;0;601;1,465,640;2,440;2,440;2,420;4,780,622;4,780,622
2025-09-11;2,440;0;684;1,663,580;2,430;2,440;2,420;4,780,622;4,780,622
2025-09-10;2,440;10;9,154;22,248,050;2,430;2,440;2,430;4,780,622;4,780,622
2025-09-09;2,430;0;3,823;9,262,370;2,420;2,430;2,420;4,761,029;4,761,029
2025-09-08;2,430;10;22,150;53,609,010;2,420;2,430;2,420;4,761,029;4,761,029
2025-09-05;2,420;0;1,627;3,937,330;2,420;2,420;2,410;4,741,436;4,741,436
2025-09-04;2,420;10;8,561;20,698,340;2,430;2,430;2,410;4,741,436;4,741,436
2025-09-03;2,430;20;6,719;16,283,050;2,430;2,430;2,420;4,761,029;4,761,029
2025-09-02;2,450;10;2,633;6,456,820;2,460;2,460;2,450;4,800,214;4,800,214
2025-09-01;2,460;0;4,304;10,576,120;2,460;2,460;2,450;4,819,807;4,819,807
2025-08-29;2,460;0;5,987;14,727,520;2,450;2,460;2,450;4,819,807;4,819,807
2025-08-28;2,460;0;2,210;5,430,600;2,460;2,460;2,450;4,819,807;4,819,807
2025-08-27;2,460;0;3,537;8,687,670;2,450;2,460;2,450;4,819,807;4,819,807
2025-08-26;2,460;10;15,691;38,507,950;2,460;2,460;2,450;4,819,807;4,819,807
2025-08-25;2,450;10;8,075;19,787,900;2,450;2,450;2,440;4,800,214;4,800,214
2025-08-22;2,440;0;2,126;5,189,440;2,440;2,450;2,430;4,780,622;4,780,622
2025-08-21;2,440;0;3,635;8,901,850;2,440;2,460;2,440;4,780,622;4,780,622
2025-08-20;2,440;0;4,825;11,763,270;2,440;2,440;2,430;4,780,622;4,780,622
2025-08-19;2,440;10;454;1,103,330;2,430;2,440;2,430;4,780,622;4,780,622
2025-08-18;2,430;0;1,784;4,334,130;2,430;2,430;2,420;4,761,029;4,761,029
2025-08-15;2,430;10;1,760;4,271,000;2,420;2,440;2,420;4,761,029;4,761,029
2025-08-14;2,440;10;27,358;66,042,180;2,450;2,450;2,400;4,780,622;4,780,622
2025-08-13;2,450;10;9,130;22,278,630;2,440;2,450;2,430;4,800,214;4,800,214
2025-08-12;2,440;0;1,438;3,505,270;2,440;2,440;2,430;4,780,622;4,780,622
2025-08-11;2,440;0;1,438;3,504,990;2,440;2,450;2,430;4,780,622;4,780,622
2025-08-08;2,440;0;4,476;10,904,330;2,440;2,440;2,430;4,780,622;4,780,622
2025-08-07;2,440;0;649;1,581,040;2,440;2,440;2,430;4,780,622;4,780,622
2025-08-06;2,440;0;845;2,061,800;2,440;2,440;2,440;4,780,622;4,780,622
2025-08-05;2,440;0;1,474;3,586,290;2,440;2,440;2,430;4,780,622;4,780,622
2025-08-04;2,440;10;579;1,408,200;2,430;2,440;2,430;4,780,622;4,780,622
2025-08-01;2,430;10;4,096;9,964,010;2,440;2,440;2,430;4,761,029;4,761,029
2025-07-31;2,440;10;1,687;4,103,450;2,430;2,440;2,430;4,780,622;4,780,622
2025-07-30;2,430;0;970;2,357,100;2,430;2,430;2,430;4,761,029;4,761,029
2025-07-29;2,430;0;3,855;9,329,520;2,410;2,430;2,410;4,761,029;4,761,029
2025-07-28;2,430;0;3,938;9,539,160;2,430;2,430;2,420;4,761,029;4,761,029
2025-07-25;2,430;10;1,899;4,628,810;2,440;2,440;2,430;4,761,029;4,761,029
2025-07-24;2,440;0;8,217;19,934,000;2,440;2,440;2,420;4,780,622;4,780,622
2025-07-23;2,440;10;1,380;3,361,360;2,430;2,440;2,430;4,780,622;4,780,622
2025-07-22;2,430;10;3,866;9,398,700;2,440;2,440;2,430;4,761,029;4,761,029
2025-07-21;2,440;0;697;1,696,050;2,440;2,440;2,430;4,780,622;4,780,622
2025-07-18;2,440;0;2,567;6,250,040;2,440;2,440;2,430;4,780,622;4,780,622
2025-07-17;2,440;10;6,391;15,529,920;2,430;2,440;2,420;4,780,622;4,780,622
2025-07-16;2,430;0;707;1,717,030;2,420;2,430;2,420;4,761,029;4,761,029
2025-07-15;2,430;0;3,559;8,632,210;2,430;2,430;2,420;4,761,029;4,761,029
2025-07-14;2,430;0;486;1,180,160;2,440;2,440;2,420;4,761,029;4,761,029
2025-07-11;2,430;10;2,316;5,599,410;2,440;2,440;2,410;4,761,029;4,761,029
2025-07-10;2,440;20;618;1,502,420;2,420;2,440;2,420;4,780,622;4,780,622
2025-07-09;2,420;0;3,171;7,681,350;2,430;2,430;2,420;4,741,436;4,741,436
2025-07-08;2,420;10;3,125;7,563,360;2,420;2,440;2,420;4,741,436;4,741,436
2025-07-07;2,430;0;1,218;2,954,070;2,440;2,440;2,420;4,761,029;4,761,029
2025-07-04;2,430;0;6,869;16,755,190;2,430;2,440;2,430;4,761,029;4,761,029
2025-07-03;2,430;10;906;2,201,660;2,430;2,430;2,420;4,761,029;4,761,029
2025-07-02;2,420;20;5,066;12,275,620;2,440;2,450;2,420;4,741,436;4,741,436
2025-07-01;2,440;10;23,648;57,635,170;2,430;2,440;2,430;4,780,622;4,780,622
2025-06-30;2,430;0;1,745;4,238,220;2,430;2,440;2,420;4,761,029;4,761,029
2025-06-27;2,430;10;14,526;35,156,500;2,420;2,430;2,410;4,761,029;4,761,029
2025-06-26;2,420;10;3,582;8,683,260;2,430;2,430;2,420;4,741,436;4,741,436
2025-06-25;2,430;0;1,973;4,786,250;2,430;2,430;2,420;4,761,029;4,761,029
2025-06-24;2,430;0;5,705;13,808,880;2,420;2,430;2,420;4,761,029;4,761,029
2025-06-23;2,430;10;2,919;7,073,750;2,430;2,430;2,420;4,761,029;4,761,029
2025-06-20;2,420;10;2,909;7,051,640;2,430;2,430;2,410;4,741,436;4,741,436
2025-06-19;2,430;10;2,239;5,427,160;2,420;2,430;2,420;4,761,029;4,761,029
2025-06-17;2,420;0;6,553;15,921,080;2,430;2,430;2,420;4,741,436;4,741,436
2025-06-16;2,420;10;28,064;67,334,940;2,430;2,430;2,390;4,741,436;4,741,436
2025-06-13;2,430;0;12,507;30,391,430;2,430;2,430;2,420;4,761,029;4,761,029
2025-06-12;2,430;0;914;2,215,080;2,430;2,430;2,410;4,761,029;4,761,029
2025-06-11;2,430;10;425;1,029,900;2,420;2,430;2,410;4,761,029;4,761,029
2025-06-10;2,420;0;2,156;5,217,250;2,420;2,420;2,410;4,741,436;4,741,436
2025-06-09;2,420;10;6,820;16,438,560;2,410;2,420;2,410;4,741,436;4,741,436
2025-06-06;2,410;10;6,999;16,898,570;2,430;2,430;2,410;4,721,844;4,721,844
2025-06-05;2,420;10;2,989;7,220,890;2,410;2,420;2,410;4,741,436;4,741,436
