Date;Current Index;%Change;Opening;High;Low;Trading Volume (shr);Trading Value (KHR);Market Cap.(Mil.KHR)
2025-09-19;404.44;0.2;403.87;404.63;402.55;31,687;163,544,440;10,847,581
2025-09-18;403.64;0.08;403.71;404.02;403.2;20,621;96,448,980;10,826,021
2025-09-17;403.96;0.1;403.22;404.05;402.05;71,794;445,700,690;10,834,684
2025-09-16;403.55;0.05;403.7;404.33;402.42;57,398;340,841,820;10,823,580
2025-09-15;403.76;0.25;404.69;404.81;400.69;46,896;221,979,780;10,829,452
2025-09-12;404.76;0.19;404;404.76;402.54;58,457;357,992,450;10,856,108
2025-09-11;404;0.1;403.85;404.58;401.72;22,892;132,371,490;10,835,700
2025-09-10;403.59;0.2;402.77;404.01;402.76;36,878;165,304,520;10,824,839
2025-09-09;402.79;0.11;402.4;403.25;401.79;101,293;378,805,000;10,803,456
2025-09-08;403.25;0.36;401.9;403.77;401.77;101,990;326,358,800;10,815,752
2025-09-05;401.82;0.17;402.46;402.83;401.56;44,372;225,206,290;10,777,400
2025-09-04;402.49;0.32;403.96;403.96;402.02;43,056;154,723,420;10,795,389
2025-09-03;403.79;0.4;404.08;404.08;401.78;28,888;156,509,160;10,830,115
2025-09-02;405.41;0.2;405.45;406.22;404.57;35,120;154,692,990;10,873,627
2025-09-01;406.22;0.1;405.55;406.49;404.32;39,477;195,877,410;10,895,423
2025-08-29;405.81;0.1;404.67;406.47;404.61;134,103;800,304,230;10,884,243
2025-08-28;405.4;0.01;405.02;406.08;405.01;39,538;208,050,680;10,873,403
2025-08-27;405.37;;404.62;405.63;403.7;60,968;347,519,680;10,872,392
2025-08-26;405.35;0.04;405.79;406.49;404.09;63,682;284,337,030;10,871,877
2025-08-25;405.18;0.05;405.47;406.07;404.02;60,269;317,027,840;10,867,397
2025-08-22;404.98;0.09;404.64;406.13;403.83;26,100;144,231,910;10,861,940
2025-08-21;404.6;0.19;405.07;406.94;404.15;43,600;223,527,150;10,851,757
2025-08-20;405.35;;405.73;405.88;404.16;57,300;201,429,550;10,871,990
2025-08-19;405.34;0.09;404.51;405.54;403.81;63,556;375,294,340;10,871,805
2025-08-18;404.98;0.16;404.27;404.98;403.07;44,298;206,613,860;10,862,003
2025-08-15;404.33;0.3;404.13;405.53;403.34;83,571;233,621,840;10,844,716
2025-08-14;405.53;0.16;406.24;406.92;402.56;77,072;337,064,670;10,876,879
2025-08-13;406.19;0.15;405.6;406.8;404.57;51,102;243,220,460;10,894,461
2025-08-12;405.59;0.17;405.35;405.66;404.33;119,480;482,505,800;10,878,510
2025-08-11;404.9;0.02;404.95;406.09;404.39;84,266;422,964,810;10,859,995
2025-08-08;404.83;0.04;404.64;405.28;404.17;26,033;120,758,930;10,858,109
2025-08-07;404.67;;405.04;405.23;403.08;29,896;130,873,050;10,853,697
2025-08-06;404.65;0.01;404.89;405.1;404.25;93,681;317,573,070;10,853,193
2025-08-05;404.7;0.1;403.52;405.33;403.2;39,821;187,881,920;10,854,498
2025-08-04;405.1;0.08;405.24;405.6;404.48;54493.0;263210990.0;10865377
2025-08-04;405.1;0.08;405.43;406.81;404.48;54,493;263,210,990;10,865,377
2025-08-01;405.42;0.13;405.67;406.65;405.42;170,733;452,735,080;10,873,769
2025-07-31;405.95;0.39;403.96;406.02;403.96;39,553;237,046,520;10,888,039
2025-07-30;404.36;0.05;404.54;404.95;404.07;37,263;175,996,090;10,845,544
2025-07-29;404.57;0.07;402.77;405.21;402.56;48,995;256,211,280;10,851,027
2025-07-28;404.29;0.16;402.33;404.29;401.38;58,859;368,275,910;10,843,557
2025-07-25;403.63;0.23;404.52;404.64;403.04;71,382;415,672,700;10,825,900
2025-07-24;404.55;0.21;404.84;405.38;402.74;86,750;431,630,020;10,850,467
2025-07-23;405.41;0.23;404.58;405.58;404.23;52,578;257,883,130;10,873,521
2025-07-22;404.46;0.08;404.62;405.19;403.7;60,336;323,934,460;10,848,123
2025-07-21;404.77;0.04;404.82;405.98;403.97;51,215;291,507,890;10,856,333
2025-07-18;404.93;0.04;404.76;404.99;403.49;43,946;220,531,930;10,860,845
2025-07-17;404.76;0.25;403.63;404.76;402.41;41,056;216,663,480;10,856,172
2025-07-16;403.75;0.01;402.88;404.12;402.46;35,251;165,774,470;10,829,113
2025-07-15;403.7;;403.47;403.87;402.54;45,849;217,696,450;10,827,838
2025-07-14;403.71;0.06;405.13;405.33;402.68;30,843;181,090,380;10,827,946
2025-07-11;403.95;0.46;405.11;405.55;401.22;59,489;318,327,530;10,834,487
2025-07-10;405.83;0.56;404.03;406.04;403.86;78,183;354,011,710;10,884,769
2025-07-09;403.58;0.27;404.03;405.15;403.58;66,651;315,533,110;10,824,580
2025-07-08;404.66;0.14;405.23;405.94;403.65;75,753;288,210,490;10,853,383
2025-07-07;405.23;0.05;405.72;406.35;404.34;90,707;604,178,950;10,868,662
2025-07-04;405.44;0.08;406.04;406.87;404.74;165,720;802,469,490;10,874,308
2025-07-03;405.77;0.1;405.75;406.65;405.16;75,239;337,093,660;10,883,360
2025-07-02;405.36;0.85;407.36;408.44;405.36;128,196;431,756,030;10,872,379
