Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;2,030;0;297;602,700;2,030;2,030;2,010;13,117;37,477
2025-09-18;2,030;0;3,643;7,411,680;2,030;2,040;2,020;13,117;37,477
2025-09-17;2,030;10;733;1,480,940;2,020;2,030;2,020;13,117;37,477
2025-09-16;2,020;30;203;410,570;2,050;2,050;2,010;13,052;37,292
2025-09-15;2,050;30;1,081;2,194,440;2,020;2,090;2,020;13,246;37,846
2025-09-12;2,020;10;217;440,210;2,030;2,030;2,020;13,052;37,292
2025-09-11;2,030;0;84;169,590;2,030;2,030;2,010;13,117;37,477
2025-09-10;2,030;10;197;400,270;2,040;2,040;2,020;13,117;37,477
2025-09-09;2,040;0;382;776,280;2,040;2,040;2,010;13,182;37,662
2025-09-08;2,040;0;68;138,620;2,040;2,040;2,030;13,182;37,662
2025-09-05;2,040;10;70;142,200;2,040;2,040;2,030;13,182;37,662
2025-09-04;2,030;10;2,272;4,570,920;2,040;2,040;2,010;13,117;37,477
2025-09-03;2,040;10;177;359,920;2,030;2,040;2,030;13,182;37,662
2025-09-02;2,030;10;165;335,220;2,040;2,040;2,030;13,117;37,477
2025-09-01;2,040;0;125;255,000;2,040;2,040;2,040;13,182;37,662
2025-08-29;2,040;10;371;804,840;2,040;2,040;2,040;13,182;37,662
2025-08-28;2,030;20;4,149;8,422,830;2,040;2,040;2,030;13,117;37,477
2025-08-27;2,050;10;1,182;2,409,130;2,040;2,050;2,000;13,246;37,846
2025-08-26;2,040;20;434;882,060;2,020;2,040;2,020;13,182;37,662
2025-08-25;2,020;10;153;309,150;2,030;2,030;2,020;13,052;37,292
2025-08-22;2,030;20;43;87,140;2,030;2,030;2,020;13,117;37,477
2025-08-21;2,010;10;3,550;7,135,280;2,030;2,030;2,000;12,988;37,108
2025-08-20;2,020;20;625;1,256,500;2,020;2,020;2,010;13,052;37,292
2025-08-19;2,000;0;535;1,069,890;2,000;2,000;1,990;12,923;36,923
2025-08-18;2,000;20;335;672,770;2,010;2,010;2,000;12,923;36,923
2025-08-15;2,020;20;1,475;2,964,830;2,000;2,020;2,000;13,052;37,292
2025-08-14;2,000;10;741;1,477,810;1,990;2,000;1,990;12,923;36,923
2025-08-13;1,990;10;251;501,300;2,000;2,000;1,990;12,858;36,738
2025-08-12;2,000;10;761;1,517,950;2,000;2,000;1,990;12,923;36,923
2025-08-11;2,010;0;1,307;2,610,050;2,010;2,010;1,990;12,988;37,108
2025-08-08;2,010;10;9;18,090;2,010;2,010;2,010;12,988;37,108
2025-08-07;2,000;0;205;409,880;2,000;2,000;1,990;12,923;36,923
2025-08-06;2,000;10;5,806;11,356,320;2,010;2,010;1,870;12,923;36,923
2025-08-05;2,010;0;2,135;4,296,120;2,010;2,020;2,010;12,988;37,108
2025-08-04;2,010;0;4,988;9,987,130;2,010;2,010;1,990;12,988;37,108
2025-08-01;2,010;0;578;1,158,920;2,000;2,010;2,000;12,988;37,108
2025-07-31;2,010;0;2,286;4,578,260;2,010;2,010;2,000;12,988;37,108
2025-07-30;2,010;0;2,180;4,354,760;2,010;2,010;1,990;12,988;37,108
2025-07-29;2,010;0;423;850,230;2,010;2,010;2,010;12,988;37,108
2025-07-28;2,010;0;929;1,867,290;2,010;2,010;2,010;12,988;37,108
2025-07-25;2,010;10;308;619,750;2,020;2,020;2,010;12,988;37,108
2025-07-24;2,020;0;2,161;4,350,230;2,020;2,020;2,000;13,052;37,292
2025-07-23;2,020;0;1,025;2,064,030;2,020;2,020;2,010;13,052;37,292
2025-07-22;2,020;0;737;1,488,740;2,020;2,020;2,020;13,052;37,292
2025-07-21;2,020;0;965;1,949,150;2,020;2,020;2,010;13,052;37,292
2025-07-18;2,020;10;870;1,757,450;2,030;2,030;2,020;13,052;37,292
2025-07-17;2,030;0;236;477,040;2,030;2,030;2,020;13,117;37,477
2025-07-16;2,030;0;753;1,521,180;2,030;2,030;2,010;13,117;37,477
2025-07-15;2,030;0;2,169;4,385,290;2,030;2,030;2,020;13,117;37,477
2025-07-14;2,030;0;184;373,460;2,030;2,030;2,020;13,117;37,477
2025-07-11;2,030;0;370;747,770;2,030;2,030;2,010;13,117;37,477
2025-07-10;2,030;10;3,017;6,102,370;2,030;2,040;2,010;13,117;37,477
2025-07-09;2,040;0;715;1,451,450;2,030;2,040;2,020;13,182;37,662
2025-07-08;2,040;0;293;596,220;2,040;2,040;2,030;13,182;37,662
2025-07-07;2,040;0;1,314;2,661,240;2,030;2,040;2,020;13,182;37,662
2025-07-04;2,040;10;799;1,621,470;2,030;2,040;2,020;13,182;37,662
2025-07-03;2,030;10;869;1,761,070;2,030;2,030;2,020;13,117;37,477
2025-07-02;2,020;20;1,474;2,996,700;2,040;2,040;2,020;13,052;37,292
2025-07-01;2,040;10;2,978;6,070,780;2,040;2,040;2,030;13,182;37,662
2025-06-30;2,050;0;568;1,157,200;2,050;2,050;2,030;13,246;37,846
2025-06-27;2,050;0;2,382;4,861,730;2,040;2,050;2,030;13,246;37,846
