Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;7,080;20;599;4,221,060;7,060;7,080;7,000;283,200;283,200
2025-09-18;7,060;0;7;49,280;6,940;7,060;6,940;282,400;282,400
2025-09-17;7,060;20;486;3,440,680;7,080;7,100;7,060;282,400;282,400
2025-09-16;7,080;20;1,753;12,361,060;7,060;7,080;7,020;283,200;283,200
2025-09-15;7,060;40;378;2,660,880;7,080;7,080;6,940;282,400;282,400
2025-09-12;7,020;20;168;1,178,860;7,020;7,020;7,000;280,800;280,800
2025-09-11;7,000;20;3,268;22,864,840;7,020;7,040;6,960;280,000;280,000
2025-09-10;7,020;20;2,349;16,473,480;7,000;7,120;7,000;280,800;280,800
2025-09-09;7,000;60;2,062;14,439,440;7,040;7,060;6,980;280,000;280,000
2025-09-08;7,060;20;2,828;19,817,940;7,080;7,100;7,000;282,400;282,400
2025-09-05;7,080;40;865;6,109,220;7,100;7,100;7,000;283,200;283,200
2025-09-04;7,120;0;882;6,269,180;7,100;7,120;7,080;284,800;284,800
2025-09-03;7,120;0;120;852,300;7,120;7,120;7,020;284,800;284,800
2025-09-02;7,120;40;3,228;22,681,580;7,160;7,160;7,000;284,800;284,800
2025-09-01;7,160;0;2,698;19,105,800;7,160;7,160;7,000;286,400;286,400
2025-08-29;7,160;40;90,261;615,086,320;7,200;7,240;7,000;286,400;286,400
2025-08-28;7,120;20;3,198;22,552,620;7,160;7,160;7,000;284,800;284,800
2025-08-27;7,140;20;1,018;7,221,000;7,160;7,160;7,000;285,600;285,600
2025-08-26;7,160;20;203;1,450,940;7,200;7,200;7,120;286,400;286,400
2025-08-25;7,180;100;3,313;23,529,200;7,000;7,200;7,000;287,200;287,200
2025-08-22;7,080;20;592;4,177,460;7,060;7,080;6,980;283,200;283,200
2025-08-21;7,060;60;367;2,584,700;7,080;7,080;7,040;282,400;282,400
2025-08-20;7,000;0;296;2,067,940;7,000;7,020;6,880;280,000;280,000
2025-08-19;7,000;20;40,403;262,819,960;7,020;7,020;6,880;280,000;280,000
