Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;2,770;10;36;99,620;2,770;2,770;2,760;71,217;71,217
2025-09-18;2,760;10;74;204,300;2,770;2,770;2,760;70,960;70,960
2025-09-17;2,770;10;9;24,920;2,780;2,780;2,760;71,217;71,217
2025-09-16;2,780;0;50;139,010;2,790;2,790;2,780;71,474;71,474
2025-09-15;2,780;10;94;263,370;2,870;2,870;2,780;71,474;71,474
2025-09-12;2,770;0;119;329,420;2,770;2,770;2,760;71,217;71,217
2025-09-11;2,770;130;35;97,740;2,800;2,800;2,750;71,217;71,217
2025-09-10;2,900;140;596;1,651,660;2,760;2,900;2,760;74,559;74,559
2025-09-09;2,760;20;166;459,770;2,780;2,780;2,760;70,960;70,960
2025-09-08;2,780;0;63;175,130;2,780;2,780;2,770;71,474;71,474
2025-09-05;2,780;0;110;304,800;2,780;2,780;2,770;71,474;71,474
2025-09-04;2,780;10;32;89,070;2,790;2,790;2,760;71,474;71,474
2025-09-03;2,790;0;250;697,150;2,790;2,790;2,740;71,731;71,731
2025-09-02;2,790;10;596;1,657,120;2,800;2,800;2,780;71,731;71,731
2025-09-01;2,800;20;209;591,770;2,880;2,890;2,780;71,988;71,988
2025-08-29;2,780;0;20;55,730;2,870;2,870;2,780;71,474;71,474
2025-08-28;2,780;10;697;1,931,510;2,840;2,840;2,770;71,474;71,474
2025-08-27;2,770;10;1,645;4,556,260;2,780;2,780;2,600;71,217;71,217
2025-08-26;2,780;0;1,501;4,170,790;2,790;2,790;2,770;71,474;71,474
2025-08-25;2,780;10;806;2,240,560;2,780;2,780;2,760;71,474;71,474
2025-08-22;2,770;10;557;1,542,900;2,780;2,780;2,770;71,217;71,217
2025-08-21;2,780;10;33;90,760;2,770;2,780;2,710;71,474;71,474
2025-08-20;2,770;10;1,036;2,691,050;2,780;2,780;2,590;71,217;71,217
2025-08-19;2,780;0;222;615,970;2,790;2,790;2,680;71,474;71,474
2025-08-18;2,780;20;13;35,840;2,750;2,780;2,750;71,474;71,474
2025-08-15;2,760;0;22;60,720;2,760;2,760;2,760;70,960;70,960
2025-08-14;2,760;10;28;77,140;2,770;2,770;2,750;70,960;70,960
2025-08-13;2,770;10;441;1,219,910;2,780;2,780;2,760;71,217;71,217
2025-08-12;2,780;0;38;105,650;2,780;2,790;2,780;71,474;71,474
2025-08-11;2,780;10;30;81,980;2,790;2,790;2,700;71,474;71,474
