Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;1,990;0;4,982;9,865,960;1,980;1,990;1,980;644,878;644,878
2025-09-18;1,990;0;2,953;5,875,470;1,980;2,000;1,980;644,878;644,878
2025-09-17;1,990;10;2,745;5,377,820;1,980;1,990;1,980;644,878;644,878
2025-09-16;1,980;10;4,355;8,634,980;2,000;2,000;1,980;641,638;641,638
2025-09-15;1,990;0;3,643;7,254,180;1,990;1,990;1,980;644,878;644,878
2025-09-12;1,990;10;4,030;8,002,310;1,980;1,990;1,980;644,878;644,878
2025-09-11;1,980;0;1,439;2,848,350;1,980;1,980;1,970;641,638;641,638
2025-09-10;1,980;10;3,400;6,734,840;1,990;1,990;1,980;641,638;641,638
2025-09-09;1,990;0;6,995;13,865,500;1,980;1,990;1,980;644,878;644,878
2025-09-08;1,990;0;3,211;6,367,760;1,980;1,990;1,970;644,878;644,878
2025-09-05;1,990;10;6,526;12,901,630;1,980;1,990;1,970;644,878;644,878
2025-09-04;1,980;10;8,159;16,065,760;1,980;1,980;1,950;641,638;641,638
2025-09-03;1,990;10;961;1,908,360;2,000;2,000;1,980;644,878;644,878
2025-09-02;2,000;10;13,872;27,411,190;1,990;2,000;1,950;648,119;648,119
2025-09-01;1,990;0;7,854;15,526,070;1,970;1,990;1,970;644,878;644,878
2025-08-29;1,990;0;8,992;17,806,910;1,980;1,990;1,980;644,878;644,878
2025-08-28;1,990;0;3,616;7,169,340;1,980;1,990;1,980;644,878;644,878
2025-08-27;1,990;0;1,848;3,665,000;1,990;1,990;1,980;644,878;644,878
2025-08-26;1,990;0;10,167;20,164,470;1,980;1,990;1,980;644,878;644,878
2025-08-25;1,990;10;8,683;17,217,380;1,990;1,990;1,970;644,878;644,878
2025-08-22;2,000;0;3,733;7,437,290;2,000;2,000;1,980;648,119;648,119
2025-08-21;2,000;0;1,473;2,936,640;1,990;2,000;1,990;648,119;648,119
2025-08-20;2,000;10;17,144;34,056,620;1,980;2,000;1,980;648,119;648,119
2025-08-19;1,990;0;5,106;10,132,550;1,980;1,990;1,980;644,878;644,878
2025-08-18;1,990;10;2,829;5,629,070;1,990;1,990;1,980;644,878;644,878
2025-08-15;2,000;0;7,422;14,769,670;1,990;2,000;1,980;648,119;648,119
2025-08-14;2,000;0;3,527;6,961,260;1,970;2,000;1,970;648,119;648,119
2025-08-13;2,000;10;5,064;10,074,280;1,980;2,000;1,980;648,119;648,119
2025-08-12;1,990;0;6,893;13,650,860;1,990;1,990;1,970;644,878;644,878
2025-08-11;1,990;10;9,525;18,886,330;1,980;2,000;1,980;644,878;644,878
2025-08-08;1,980;10;876;1,740,350;1,990;1,990;1,980;641,638;641,638
2025-08-07;1,990;10;9,378;18,548,850;1,980;1,990;1,970;644,878;644,878
2025-08-06;1,980;0;1,682;3,322,580;1,990;1,990;1,970;641,638;641,638
2025-08-05;1,980;0;7,709;15,231,090;1,970;1,990;1,970;641,638;641,638
2025-08-04;1,980;0;14,284;28,249,100;1,980;1,990;1,970;641,638;641,638
2025-08-01;1,980;10;19,197;37,969,610;1,980;1,990;1,970;641,638;641,638
2025-07-31;1,990;0;3,361;6,686,770;1,990;1,990;1,980;644,878;644,878
2025-07-30;1,990;0;6,119;12,101,290;1,980;1,990;1,980;644,878;644,878
2025-07-29;1,990;0;10,203;20,149,470;1,980;1,990;1,970;644,878;644,878
2025-07-28;1,990;10;3,831;7,583,110;1,980;1,990;1,970;644,878;644,878
2025-07-25;1,980;10;3,175;6,305,690;1,990;2,000;1,980;641,638;641,638
2025-07-24;1,990;10;20,694;40,949,570;1,980;2,000;1,960;644,878;644,878
2025-07-23;2,000;10;17,107;34,039,720;2,000;2,000;1,980;648,119;648,119
2025-07-22;1,990;10;13,318;26,451,570;2,000;2,000;1,980;644,878;644,878
2025-07-21;2,000;10;14,790;29,375,510;1,990;2,000;1,980;648,119;648,119
2025-07-18;1,990;10;16,856;33,520,150;2,000;2,000;1,980;644,878;644,878
2025-07-17;2,000;0;5,403;10,742,320;2,000;2,000;1,980;648,119;648,119
2025-07-16;2,000;10;13,029;25,899,800;1,990;2,010;1,980;648,119;648,119
2025-07-15;1,990;0;9,053;17,954,330;1,980;1,990;1,980;644,878;644,878
2025-07-14;1,990;0;5,432;10,788,260;1,980;1,990;1,980;644,878;644,878
2025-07-11;1,990;10;5,464;10,848,610;1,980;1,990;1,980;644,878;644,878
2025-07-10;2,000;10;35,112;69,278,080;1,990;2,000;1,970;648,119;648,119
2025-07-09;1,990;10;23,153;45,823,630;1,970;1,990;1,970;644,878;644,878
2025-07-08;2,000;0;35,761;70,985,670;1,980;2,000;1,980;648,119;648,119
2025-07-07;2,000;0;13,582;26,955,340;1,980;2,000;1,980;648,119;648,119
2025-07-04;2,000;10;43,134;85,833,050;2,010;2,010;1,980;648,119;648,119
2025-07-03;2,010;20;29,812;59,343,820;2,000;2,010;1,980;651,360;651,360
2025-07-02;1,990;20;81,433;162,333,920;1,990;2,010;1,990;644,878;644,878
2025-07-01;2,010;0;19,802;39,665,440;2,010;2,020;2,000;651,360;651,360
