Name;Abb;License;Year;Total Office;Phnom Penh Office;Provincial Office;ATM terminals;POS;Debit Cards;Credit Cards;Staff;Total Assets;Total Equity;GLP;NLP;Debt= Borrowings+Sub-debt;Total Customer Deposits (exc. Deposits from banks and Fis);CASA deposits;Total Paid-up Capital;Foreign Share;Cash;Gold;Deposits with NBC;Due from Banks;Deposits with, Loans and advances to, Banks;Loans and advances  to state enterprises;Loans and advances to private sector;Accrued interest receivable from Loans;Securities;Claims on goverment;Prepaid Expenses;Fixed assets;Other assets;Total Assets;Owed to NBC;Owed to Banks;Borrowed Funds (including subdebt);Demand deposits;Saving deposits ;Fixed deposits ;Accrued interest payable;Other deposits;Other liabilities;Total Liabilities;Paid up Capital;Reserves  ;Regulatory Resereve & other;Retained and Current Profit/Loss;Total Equity;Interest Income;Interest Expenses;Net Interest Income;Non Interest Income;Gross Operating Income;Operating Expenses (Excluded Depreciations);Depreciation;Bad & Doubtful Debts;Recoveries;Profit & Loss Before Tax;Profit Tax;Extra Gains or Losses;Net profit for 12 Months;Total Credit (Exc. Loans to Other banks and Fis);Agriculture, Forestry and Fishing;Mining and Quarrying;Manufacturing;Utilities;Construction;Wholesale Trade;Retail Trade;Accommodation and Food Service Activities;Transport and Storage;Information and Communications;Rental and Operational Leasing Activities;Real Estate Activities (include mortgage from 2024);Other Non-Financial Services ( including Education + Arts, Entertainment and creation);Personal Essentials (Exclude mortgage from 2024);Other Lending;Total Customer Deposits;Government;State Enterprise ;Business Enterprises;Individuals;Non-profit Organizations;Non- Resident;Others;Asset growth;Equity growth;GLP growth;Deposit growth;Debt (borrowings & sub-debt) growth;Int.income growth;Net int. income growth;Non-int. income growth;Ope growth;PBT growth;Net income growth;ROA;ROE;ROAA;ROAE;NIM;Portfolio Yield;CIR;NPL ratio;Net loan/GLP;Provision exp ratio;Loans per staff;Loans per branch;Loan to Agriculture;Loan to Construction;Loan to Real-estate;Loan to Hotel & Restaurants;Loan to Retail Trade;Loan to Wholesale Trade;Loans to personal essentials;Loans to manufacturing;Loans to others;Ope ratio;Ope per staff;CASA Ratio;Loan-deposit Ratio;Deposits with NBC/TA;D/E;A/E;Total Equity/Risky Assets;CASA/TL;FD/TL;Borrowings/TL;Owed to Banks & NBC/TL;Subdebt/TL;Other liab/TL;Avg. Funding Cost;Yield on Earnings Assets;Operating exp. Ratio;Funding exp. Ratio;Provision exp. Ratio;Yield margin
ACLEDA Bank Plc.;ACLEDA;Commercial;2010;;;;108;675;390,725;0;6,982;4,745,962;525,270;3,047,511;13,599;436,934;3,606,756;2,019,418;276,212;0.49;388,853;0;954,327;143,817;61,534;0;3,010,071;29,073;0;0;17,361;132,200;8,728;4,745,962;0;106,508;330,426;453,263;1,566,155;1,550,971;18,117;18,251;177,003;4,220,693;276,212;0;141,144;107,913;525,270;466,013;104,282;361,732;76,558;438,290;270,233;18,785;15,453;1,598;135,417;26,978;-526;107,913;3,038,297;462,612;0;153,818;0;0;447,254;769,684;59,529;0;0;0;34,837;626,640;439,064;44,860;3,606,756;219,136;14,363;593,872;2,532,174;33,016;212,862;1,334;;;;;;;;;;;;0.02274;0.20544;;;;;0.65942;0.00446;0.98771;;436;;0.1518;0;0.01143;0.01953;0.25256;0.14676;0.14407;0.05047;0.22337;;41.39;0.5599;0.84495;0.20108;8.03528;9.03528;0.15436;0.47846;0.36747;0.07829;0.02523;;0.05055;;;;;;
ACLEDA Bank Plc.;ACLEDA;Commercial;2011;234;14;220;134;640;504,173;0;7,038;6,063,681;699,602;4,102,821;7,299;581,891;4,492,048;2,499,955;316,547;0.49;490,351;0;961,628;336,057;10,882;0;4,061,344;37,145;0;0;17,400;132,591;16,283;6,063,681;0;169,959;411,932;482,818;2,017,137;1,946,771;27,547;17,776;290,140;5,364,080;316,547;0;206,183;176,873;699,602;586,905;116,392;470,514;101,556;572,070;316,048;21,522;14,760;3,888;223,627;44,218;-2,536;176,873;4,085,761;674,444;0;187,173;0;0;646,908;1,011,163;55,803;0;0;0;25,218;782,392;625,662;77,000;4,492,048;176,801;19,633;721,779;3,268,806;48,119;254,722;2,189;0.27765;0.33189;0.34629;0.24545;0.33176;0.25942;0.30073;0.32652;0.16799;0.6514;0.63903;0.02917;0.25282;0.03273;0.2888;0.09864;0.14434;0.59009;0.00178;0.98989;0.00413;583;17,533;0.16439;0;0.00615;0.0136;0.24646;0.15767;0.1525;0.04562;0.21362;0.09442;47.96;0.55653;0.91335;0.15859;7.66733;8.66733;0.1517;0.46605;0.36293;0.07679;0.03168;;0.06254;0.02576;0.14434;0.07077;0.0244;0.00309;0.04607
ACLEDA Bank Plc.;ACLEDA;Commercial;2012;238;15;223;152;904;641,868;0;7,640;7,696,028;1,005,518;5,055,104;14,223;770,949;5,568,767;3,014,183;452,112;0.49;596,914;0;1,496,899;307,307;32,991;0;5,000,083;46,394;0;0;22,781;164,765;27,894;7,696,028;0;313,665;457,284;553,208;2,460,975;2,488,372;44,997;21,214;350,794;6,690,510;452,112;0;302,039;251,367;1,005,518;758,876;162,791;596,084;105,598;701,682;335,627;33,456;19,046;1,558;315,112;62,842;-903;251,367;5,048,791;943,286;0;223,751;0;0;754,126;1,256,802;64,894;0;0;0;14,874;947,951;782,749;60,357;5,568,767;217,482;29,096;827,179;4,086,529;48,354;360,129;0;0.2692;0.43727;0.2321;0.23969;0.3249;0.29301;0.26688;0.0398;0.09335;0.4091;0.42117;0.03266;0.24999;0.03654;0.29484;0.09766;0.14163;0.526;0.00281;0.98912;0.00416;662;21,240;0.1866;0;0.00294;0.01284;0.24862;0.14918;0.15484;0.04426;0.20071;0.0806;48.31;0.54127;0.90776;0.1945;6.65379;7.65379;0.17949;0.45052;0.37193;0.06835;0.04688;;0.06233;0.02881;0.14163;0.06047;0.02667;0.00312;0.05137
ACLEDA Bank Plc.;ACLEDA;Commercial;2013;238;17;221;167;1,279;625,540;4,848;9,357;9,286,843;1,479,122;5,910,464;33,889;1,620,211;5,844,923;2,994,481;741,759;0.49;590,202;0;2,101,390;288,853;15,000;0;5,840,089;53,654;0;0;25,224;320,118;52,312;9,286,843;0;781,211;839,000;630,937;2,363,544;2,780,466;46,267;23,709;342,588;7,807,721;741,759;0;426,472;310,892;1,479,122;893,458;204,676;688,782;111,170;799,951;362,121;27,497;22,372;2,033;389,994;77,723;-1,380;310,892;5,910,463;1,156,247;0;238,356;0;0;905,981;1,405,673;77,358;0;0;0;20,575;1,122,191;915,399;68,684;5,844,923;256,543;133,628;1,034,737;4,191,542;88,565;139,908;0;0.20671;0.471;0.16921;0.04959;1.10158;0.17734;0.15551;0.05277;0.05564;0.23764;0.23681;0.03348;0.21019;0.03661;0.25025;0.09133;0.13322;0.48705;0.00573;0.98809;0.00408;632;24,834;0.19563;0;0.00348;0.01309;0.23783;0.15328;0.15488;0.04033;0.20149;0.07106;41.64;0.51232;1.01121;0.22628;5.27862;6.27862;0.22427;0.38353;0.35612;0.10746;0.10006;;0.05284;0.02995;0.13322;0.05166;0.02714;0.00297;0.05144
ACLEDA Bank Plc.;ACLEDA;Commercial;2014;253;16;237;219;2,116;790,651;7,480;11,079;12,568,161;1,843,212;8,172,290;31,476;2,381,185;7,919,165;4,186,809;919,058;0.49;819,271;0;2,431,988;397,761;39,110;0;8,083,085;70,011;0;0;34,148;657,099;35,688;12,568,161;0;1,133,902;1,247,283;844,693;3,342,116;3,634,676;62,368;35,313;424,599;10,724,948;919,058;0;589,445;334,710;1,843,212;1,068,306;266,610;801,696;132,532;934,228;458,738;31,309;28,982;3,233;418,431;84,187;465;334,710;8,172,290;1,603,757;0;354,330;0;0;1,550,319;1,717,889;108,366;0;0;224;52,875;1,530,490;1,144,609;109,431;7,919,165;376,876;94,198;1,303,544;5,861,131;91,396;192,020;0;0.35333;0.24615;0.38268;0.35488;0.46968;0.1957;0.16393;0.19216;0.25776;0.07292;0.07661;0.02663;0.18159;0.03063;0.20149;0.08352;0.12511;0.52455;0.00385;0.98908;0.00412;738;32,302;0.19624;0;0.00647;0.01326;0.21021;0.1897;0.14006;0.04336;0.2007;0.0696;44.23;0.52869;1.03196;0.1935;5.81862;6.81862;0.19784;0.39038;0.3389;0.1163;0.10573;;0.0487;0.0303;0.12511;0.05105;0.02778;0.00302;0.04326
ACLEDA Bank Plc.;ACLEDA;Commercial;2015;258;19;239;280;2,595;841,193;10,486;11,815;15,577,246;2,263,168;10,004,111;36,396;3,354,390;9,388,259;4,657,462;1,076,191;0.49;927,633;0;3,327,653;422,526;28,742;0;9,898,673;84,275;0;0;53,441;770,969;63,334;15,577,246;0;1,338,434;2,015,956;925,162;3,732,300;4,620,052;80,226;30,520;571,429;13,314,078;1,076,191;0;756,050;430,928;2,263,168;1,365,874;368,232;997,641;161,413;1,159,055;556,634;35,822;29,937;4,358;541,021;108,680;-1,413;430,928;10,004,111;2,091,267;0;432,720;11,332;69,362;1,549,838;2,372,838;105,950;44,862;140;9,703;30,060;1,727,177;1,428,600;130,261;9,388,259;455,190;118,888;1,560,528;6,976,256;68,894;208,503;0;0.23942;0.22784;0.22415;0.18551;0.40871;0.27854;0.24441;0.21792;0.20898;0.29298;0.28747;0.02766;0.19041;0.03062;0.20988;0.08101;0.12402;0.51115;0.00364;0.98946;0.00329;847;38,776;0.20904;0.00693;0.003;0.01059;0.23719;0.15492;0.1428;0.04325;0.19227;0.06519;50.14;0.49609;1.0656;0.21362;5.88294;6.88294;0.19989;0.34981;0.34701;0.15142;0.10053;;0.05124;0.03225;0.12402;0.04811;0.0299;0.00243;0.04358
ACLEDA Bank Plc.;ACLEDA;Commercial;2016;259;19;240;300;3,137;779,929;11,150;12,223;18,607,978;2,703,174;11,269,698;78,921;4,431,815;10,821,360;5,217,579;1,242,443;0.49;1,125,667;0;4,938,290;327,297;16,682;0;11,132,460;95,339;0;0;60,434;785,608;126,201;18,607,978;0;1,613,090;2,818,725;1,049,899;4,167,680;5,475,883;100,099;27,800;651,629;15,904,804;1,242,443;0;970,109;490,622;2,703,174;1,585,324;474,832;1,110,492;190,987;1,301,480;588,858;52,967;51,621;5,744;613,777;122,379;-777;490,622;11,269,698;2,243,501;0;422,136;35,241;333,936;1,631,632;2,785,791;126,884;135,214;250;74,989;59,727;1,708,741;1,685,624;26,032;10,821,360;585,983;112,237;2,029,477;7,754,974;39,688;299,002;0;0.19456;0.19442;0.12651;0.15265;0.3212;0.16067;0.11312;0.18322;0.08333;0.13448;0.13852;0.02637;0.1815;0.0287;0.19758;0.07381;0.11806;0.49315;0.007;0.98782;0.00485;922;43,512;0.19907;0.02963;0.0053;0.01126;0.24719;0.14478;0.14957;0.03746;0.17573;0.06034;52.51;0.48216;1.04143;0.26539;5.88375;6.88375;0.2155;0.32805;0.34429;0.17722;0.10142;;0.04901;0.03421;0.11806;0.04266;0.03156;0.00343;0.04041
ACLEDA Bank Plc.;ACLEDA;Commercial;2017;261;19;242;388;3,608;924,191;12,677;12,456;20,903,693;3,000,752;12,257,886;286,227;4,946,284;12,259,007;6,248,108;1,447,446;0.49;1,270,926;0;5,975,045;318,372;216,587;0;12,042,750;97,802;0;0;60,630;783,681;137,900;20,903,693;0;972,570;3,973,714;1,289,372;4,958,736;5,855,179;105,496;50,223;697,648;17,902,941;1,447,446;0;1,207,664;345,642;3,000,752;1,630,319;573,583;1,056,736;224,554;1,281,290;647,435;55,619;149,163;10,208;439,282;85,839;-7,801;345,642;12,257,887;2,325,972;0;379,269;44,223;388,116;1,519,311;3,635,725;18,042;0;0;123,679;32,814;1,842,060;1,929,041;19,635;12,259,007;723,711;126,535;2,035,626;8,928,592;55,819;388,725;0;0.12337;0.11008;0.08769;0.13285;0.11609;0.02838;-0.04841;0.17576;0.0954;-0.2843;-0.2955;0.01653;0.11519;0.0175;0.12119;0.06044;0.10609;0.54871;0.02335;0.98245;0.01268;984;46,965;0.18975;0.03166;0.00268;0.00147;0.2966;0.12395;0.15737;0.03094;0.16557;0.05976;56.44;0.50967;0.99991;0.28584;5.96615;6.96615;0.21971;0.349;0.32705;0.22196;0.05432;;0.04767;0.03565;0.10609;0.04021;0.03281;0.00853;0.02454
ACLEDA Bank Plc.;ACLEDA;Commercial;2018;262;19;243;510;4,157;1,076,392;12,747;12,177;22,465,609;3,278,941;14,086,003;256,570;4,524,106;14,013,996;7,743,424;1,588,010;0.49;1,658,989;0;5,814,623;98,785;36,039;0;13,793,816;104,834;;0;56,770;772,864;128,890;22,465,609;0;1,354,301;3,169,805;1,516,510;6,226,914;6,095,374;101,888;73,309;648,568;19,186,669;1,588,010;0;1,365,372;325,559;3,278,941;1,609,562;578,581;1,030,981;260,346;1,291,327;689,814;53,866;157,584;19,560;409,624;82,702;-1,363;325,559;14,086,004;2,587,375;;392,119;57,995;390,349;1,435,131;3,856,402;8,297;;;840,859;182,922;2,136,731;2,193,228;4,596;14,013,996;777,450;134,858;1,806,947;10,410,470;334,329;549,941;;0.07472;0.09271;0.14914;0.14316;-0.08535;-0.01273;-0.02437;0.15939;0.05779;-0.06751;-0.0581;0.01449;0.09929;0.01501;0.10369;0.05384;0.09766;0.5759;0.01821;0.97926;0.01196;1,157;53,763;0.18368;0.02771;0.01299;0.00059;0.27378;0.10188;0.1557;0.02784;0.21583;0.05646;61.07;0.55255;1.00514;0.25882;5.85148;6.85148;0.21871;0.40358;0.31769;0.16521;0.07059;;0.04293;0.03268;0.09766;0.03884;0.03022;0.00823;0.02037
ACLEDA Bank Plc.;ACLEDA;Commercial;2019;262;19;243;627;4,289;1,219,840;12,511;11,997;24,573,200;3,807,943;15,228,612;181,798;3,821,378;16,212,476;8,999,828;1,747,434;0.49;1,715,570;0;6,312,446;448,517;33,059;0;14,990,205;112,776;0;0;54,941;786,664;119,024;24,573,202;0;1,238,702;2,582,676;1,943,283;7,056,545;7,011,447;126,606;74,594;731,403;20,765,256;1,747,434;0;1,542,583;517,926;3,807,943;1,771,443;593,673;1,177,770;295,241;1,473,011;755,326;55,414;37,536;26,193;650,927;133,018;17;517,926;15,228,612;2,959,411;0;404,464;40,844;452,924;1,277,500;4,012,239;2,708;0;0;1,512,907;137,968;2,191,394;2,235,421;832;16,212,476;986,227;167,253;2,043,472;11,894,455;349,530;771,537;0;0.09381;0.16133;0.08112;0.15688;-0.15533;0.10057;0.14238;0.13403;0.09017;0.58908;0.59088;0.02108;0.13601;0.02202;0.14616;0.05672;0.09953;0.5504;0.01194;0.98434;0.00256;1,269;58,124;0.19433;0.02974;0.00906;0.00018;0.26347;0.08389;0.14679;0.02656;0.24598;0.05531;67.58;0.55512;0.93931;0.25688;5.45314;6.45314;0.23015;0.43341;0.33765;0.12437;0.05965;;0.04491;0.03109;0.09953;0.03905;0.02859;0.00181;0.03009
