Date;NBC Official rate
2025-09-19;4007
2025-09-18;4007
2025-09-17;4007
2025-09-16;4007
2025-09-15;4006
2025-09-12;4008
2025-09-11;4008
2025-09-10;4008
2025-09-09;4009
2025-09-08;4010
2025-09-05;4010
2025-09-04;4010
2025-09-03;4010
2025-09-02;4009
2025-09-01;4008
2025-08-29;4008
2025-08-28;4008
2025-08-27;4008
2025-08-26;4009
2025-08-25;4010
2025-08-22;4010
2025-08-21;4009
2025-08-20;4008
2025-08-19;4008
2025-08-18;4007
2025-08-15;4006
2025-08-14;4006
2025-08-13;4005
2025-08-12;4005
2025-08-11;4006
2025-08-08;4006
2025-08-07;4006
2025-08-06;4006
2025-08-05;4007
2025-08-04;4007
2025-08-01;4007
2025-07-31;4006
2025-07-30;4005
2025-07-29;4005
2025-07-28;4005
2025-07-25;4006
2025-07-24;4007
2025-07-23;4008
2025-07-22;4008
2025-07-21;4008
2025-07-18;4008
2025-07-17;4008
2025-07-16;4009
2025-07-15;4007
2025-07-14;4008
2025-07-11;4009
2025-07-10;4011
2025-07-09;4013
2025-07-08;4015
2025-07-07;4016
2025-07-04;4017
2025-07-03;4014
2025-07-02;4014
2025-07-01;4012
2025-06-30;4010
2025-06-27;4009
2025-06-26;4009
2025-06-25;4009
2025-06-24;4009
2025-06-23;4009
2025-06-20;4008
2025-06-19;4005
2025-06-17;4005
2025-06-16;4008
2025-06-13;4010
2025-06-12;4011
2025-06-11;4013
2025-06-10;4014
2025-06-09;4012
2025-06-06;4012
2025-06-05;4011
2025-06-04;4011
2025-06-03;4010
2025-06-02;4006
2025-05-30;4005
2025-05-29;4004
2025-05-28;4003
2025-05-27;4003
2025-05-26;4002
2025-05-23;4003
2025-05-22;4003
2025-05-21;4003
2025-05-20;4003
2025-05-19;4002
2025-05-16;4002
2025-05-13;4002
2025-05-12;4003
2025-05-09;4003
2025-05-08;4004
2025-05-07;4003
2025-05-06;4005
2025-05-05;4004
2025-05-02;4002
2025-04-30;4003
2025-04-29;4003
2025-04-28;4002
2025-04-25;4003
2025-04-24;4003
2025-04-23;4003
2025-04-22;4004
2025-04-21;4003
2025-04-18;4005
2025-04-17;4005
2025-04-11;4006
2025-04-10;4005
2025-04-09;4005
2025-04-08;4002
2025-04-07;4002
2025-04-04;4003
2025-04-03;4000
2025-04-02;4000
2025-04-01;4000
2025-03-31;4000
2025-03-28;4003
2025-03-27;4002
2025-03-26;4003
2025-03-25;4004
2025-03-24;4006
2025-03-21;4005
2025-03-20;4007
2025-03-19;4008
2025-03-18;4007
2025-03-17;4007
2025-03-14;4007
2025-03-13;4008
2025-03-12;4008
2025-03-11;4008
2025-03-10;4007
2025-03-07;4008
2025-03-06;4011
2025-03-05;4011
2025-03-04;4009
2025-03-03;4011
2025-02-28;4011
2025-02-27;4010
2025-02-26;4010
2025-02-25;4011
2025-02-24;4011
2025-02-21;4012
2025-02-20;4016
2025-02-19;4016
2025-02-18;4013
2025-02-17;4005
2025-02-14;4004
2025-02-13;4005
2025-02-12;4009
2025-02-11;4013
2025-02-10;4017
2025-02-07;4017
2025-02-06;4017
2025-02-05;4020
2025-02-04;4021
2025-02-03;4022
2025-01-31;4024
2025-01-30;4020
2025-01-29;4020
2025-01-28;4021
2025-01-27;4023
2025-01-24;4024
2025-01-23;4027
2025-01-22;4029
2025-01-21;4029
2025-01-20;4035
2025-01-17;4027
2025-01-16;4025
2025-01-15;4034
2025-01-14;4037
2025-01-13;4042
2025-01-10;4042
2025-01-09;4039
2025-01-08;4036
2025-01-06;4033
2025-01-03;4032
2025-01-02;4027
2024-12-31;4025
2024-12-30;4024
2024-12-27;4021
2024-12-26;4018
2024-12-25;4019
2024-12-24;4019
2024-12-23;4020
2024-12-20;4019
2024-12-19;4021
2024-12-18;4021
2024-12-17;4019
2024-12-16;4019
2024-12-13;4021
2024-12-12;4016
2024-12-11;4022
2024-12-10;4025
2024-12-09;4027
2024-12-06;4028
2024-12-05;4029
2024-12-04;4030
2024-12-03;4032
2024-12-02;4029
2024-11-29;4028
2024-11-28;4030
2024-11-27;4024
2024-11-26;4014
2024-11-25;4014
2024-11-22;4026
2024-11-21;4034
2024-11-20;4038
2024-11-19;4039
2024-11-18;4041
2024-11-13;4048
2024-11-12;4053
2024-11-11;4059
2024-11-08;4062
2024-11-07;4063
2024-11-06;4064
2024-11-05;4065
2024-11-04;4065
2024-11-01;4064
2024-10-31;4063
2024-10-30;4061
2024-10-28;4061
2024-10-25;4061
2024-10-24;4062
