Name;Abb;License;Year;Phnom Penh Office;Provincial Office;Total Office;Staff;Total Assets;Total Equity;GLP;NLP;Debt;Total Deposits;Total Paid-up Capital;Foreign Share;Cash and Balance with NBC and Other Banks;Loans and Advances to Customers;Prepayment and short term Receiable;Long Term Investment;Property and Equipment;Other Assets;Total Assets;Compulsory Saving;Voluntary Saving;Interest Payable;Accountpayable and Others Liabilities;Accrued Expenses and Provision;Loans Payable;Deferred Revenue;Suspense Clearing and interbranch Account;Other Liabilities;Subordinated Debt;Total Liabilities;Paid up Capital;Premium on Share Capital;Reserves and Appropriations;Retained and Current Profit/Loss;Total Equity;Interest income;Interest Expenses;Net Interest Income;Non-interest income;Operation income;Operating Expense;Net Provision;Profit from operation;Grant Income;Profit before Taxes;Tax on profit;Net Profit &Loss for 12 months;Total Credit (Exc. Loans to Other banks and Fis);Agriculture, Forestry and Fishing;Mining and Quarrying;Manufacturing;Utilities;Construction;Wholesale Trade;Retail Trade;Accommodation and Food Service Activities;Transport and Storage;Information and Communications;Rental and Operational Leasing Activities;Real Estate Activities (include mortgage from 2024);Other Non-Financial Services ( including Education + Arts, Entertainment and creation);Personal Essentials (Exclude mortgage from 2024);Other Lending;Asset growth;Equity growth;GLP growth;Deposit growth;Debt (borrowings & sub-debt) growth;Int.income growth;Net int. income growth;Non-int. income growth;Ope growth;PBT growth;Net income growth;ROA;ROE;ROAA;ROAE;NIM;Portfolio Yield;CIR;NPL ratio;Net loan/GLP;Provision exp ratio;Loans per staff;Loans per branch;Loan to Agriculture;Loan to Construction;Loan to Trade and Commerce;Loan to Service;Loan to Transportation;Loan to Household;Loans to manufacturing;Loans to others;Ope ratio;Ope per staff;Loan-deposit Ratio;Cash & Deposits with NBC & Other Banks/TA;D/E;A/E;CAR;Deposits/TL;Borrowings and Sub-debt/TL;Payable/TL;Other liab/TL;Avg. Funding Cost;Yield on Earnings Assets;Operating exp. Ratio;Funding exp. Ratio;Provision exp. Ratio;Yield margin;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2020;;;;32;319,445;;196,085;3,238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,316;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04482;;0.04482;;;;;0.01651;;0.00000;6,127.66;;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;;;;;0.00000;;;;;;;;;;;;;;;;;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2021;;;;35;355,825;;243,689;4,023;;;50,465;0.9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,495;243,689;26,730;;;;7,597;;6,614;67,101;3,876;;;;;129,825;1,946;0.11389;;0.24277;;;;;;;;0.01250;0.04074;;0.04293;;;;;0.01651;;0.00000;6,962.54;;0.10969;0.03117;0.02714;0.27536;0.01591;0.53275;0.00000;0.00799;;;;0.00000;;;;;;;;;;;;;;;;1946;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2022;;;;39;383,315;;316,050;10,237;;;75,699;0.9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,233;316,050;32,460;;;;13,932;;18,748;103,192;3,415;;;;;142,475;1,828;0.07726;;0.29694;;;;;;;;-0.08706;0.03452;;0.03581;;;;;0.03239;;0.00000;8,103.85;;0.10271;0.04408;0.05932;0.32651;0.01081;0.45080;0.00000;0.00578;;;;0.00000;;;;;;;;;;;;;;;;1828;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2023;;;;49;388,043;;278,979;4,128;;;75,111;0.9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,698;278,979;22,343;;;;7,815;;12,648;61,288;2,370;;;;;170,797;1,718;0.01233;;-0.11729;;;;;;;;-0.41827;0.01984;;0.01996;;;;;0.01480;;0.00000;5,693.45;;0.08009;0.02801;0.04534;0.21969;0.00850;0.61222;0.00000;0.00616;;;;0.00000;;;;;;;;;;;;;;;;1718;
BSP Finance (Cambodia) Plc.;BSPFC;Leasing;2024;1;0;1;52;270,676;99,635;247,008;31,761;162,917;0;74,008;0.9000;22,518;229,527;16,018;0;1,801;812;270,676;0;0;0;4,324;3,800;161,325;0;0;0;1,592;171,041;74,008;0;0;25,627;99,635;41,675;21,212;20,463;4,225;24,688;9,707;15,916;-935;0;-935;2,875;-3,810;247,008;45,531;0;0;0;19,490;0;0;0;0;0;0;0;0;0;181,987;-0.30246;;-0.11460;;;;;;;;-1.49493;-0.01408;-0.03824;-0.01157;-0.03824;0.08119;0.17453;0.39319;0.12858;0.92923;0.06052;4,750.15;247,008.00;0.18433;0.07890;0.00000;0.00000;0.00000;0.00000;0.00000;0.73677;0.03851;186.67;;0.08319;1.71668;2.71668;0.38407;0.00000;0.95250;0.02528;0.02222;0.13020;0.18211;0.03851;0.08416;0.06315;-0.00371;;;181987;
Chailease Royal Leasing Plc;Chailease Leasing;Leasing;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chailease Royal Leasing Plc;Chailease Leasing;Leasing;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chailease Royal Leasing Plc;Chailease Leasing;Leasing;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chailease Royal Leasing Plc;Chailease Leasing;Leasing;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chailease Royal Leasing Plc;Chailease Leasing;Leasing;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chailease Royal Leasing Plc;Chailease Leasing;Leasing;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chailease Royal Leasing Plc;Chailease Leasing;Leasing;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chailease Royal Leasing Plc;Chailease Leasing;Leasing;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
