Date;1 Year;2 Year;3 Year;5 Year;7 Year;10 Year;15 Year;30 Year
2025-09-17;3.543%;3.258%;3.194%;3.227%;3.328%;3.494%;3.711%;3.785%
2025-09-16;3.542%;3.228%;3.151%;3.177%;3.280%;3.454%;3.679%;3.765%
2025-09-15;3.558%;3.250%;3.168%;3.185%;3.283%;3.453%;3.679%;3.768%
2025-09-12;3.566%;3.266%;3.187%;3.206%;3.304%;3.473%;3.697%;3.781%
2025-09-11;3.548%;3.242%;3.160%;3.176%;3.269%;3.437%;3.664%;3.756%
2025-09-10;3.576%;3.252%;3.162%;3.177%;3.279%;3.458%;3.695%;3.794%
2025-09-09;3.592%;3.262%;3.171%;3.192%;3.305%;3.493%;3.732%;3.828%
2025-09-08;3.540%;3.212%;3.126%;3.154%;3.266%;3.456%;3.699%;3.799%
2025-09-05;3.576%;3.252%;3.166%;3.190%;3.307%;3.503%;3.756%;3.871%
2025-09-04;3.652%;3.309%;3.212%;3.233%;3.360%;3.564%;3.824%;3.943%
2025-09-03;3.681%;3.346%;3.253%;3.286%;3.417%;3.622%;3.879%;3.987%
2025-09-02;3.704%;3.369%;3.275%;3.314%;3.450%;3.662%;3.925%;4.044%
2025-08-29;3.697%;3.347%;3.249%;3.284%;3.418%;3.626%;3.889%;4.007%
2025-08-28;3.721%;3.365%;3.261%;3.287%;3.413%;3.611%;3.863%;3.968%
2025-08-27;3.701%;3.346%;3.250%;3.289%;3.429%;3.639%;3.893%;3.999%
2025-08-26;3.724%;3.378%;3.286%;3.329%;3.464%;3.665%;3.909%;4.001%
2025-08-25;3.754%;3.423%;3.335%;3.375%;3.501%;3.692%;3.922%;3.998%
2025-08-22;3.730%;3.393%;3.304%;3.350%;3.478%;3.670%;3.903%;3.984%
2025-08-21;3.815%;3.486%;3.399%;3.439%;3.557%;3.736%;3.955%;4.020%
2025-08-20;3.772%;3.451%;3.362%;3.397%;3.518%;3.702%;3.927%;3.998%
2025-08-19;3.769%;3.457%;3.371%;3.408%;3.528%;3.712%;3.934%;4.001%
2025-08-18;3.790%;3.477%;3.393%;3.440%;3.561%;3.743%;3.967%;4.037%
2025-08-15;3.783%;3.465%;3.382%;3.427%;3.547%;3.729%;3.950%;4.019%
2025-08-14;3.757%;3.438%;3.358%;3.403%;3.521%;3.698%;3.916%;3.977%
2025-08-13;3.705%;3.389%;3.310%;3.356%;3.473%;3.650%;3.869%;3.932%
2025-08-12;3.747%;3.438%;3.361%;3.404%;3.518%;3.693%;3.910%;3.969%
2025-08-11;3.783%;3.474%;3.389%;3.419%;3.526%;3.693%;3.903%;3.956%
2025-08-08;3.782%;3.473%;3.388%;3.417%;3.523%;3.690%;3.898%;3.948%
2025-08-07;3.751%;3.430%;3.343%;3.373%;3.482%;3.652%;3.865%;3.922%
2025-08-06;3.746%;3.410%;3.321%;3.354%;3.467%;3.640%;3.854%;3.908%
2025-08-05;3.771%;3.431%;3.335%;3.350%;3.450%;3.611%;3.812%;3.852%
2025-08-04;3.744%;3.406%;3.312%;3.335%;3.442%;3.612%;3.823%;3.875%
2025-08-01;3.747%;3.405%;3.314%;3.345%;3.457%;3.628%;3.841%;3.892%
2025-07-31;4.001%;3.658%;3.542%;3.539%;3.626%;3.771%;3.955%;3.976%
2025-07-29;3.906%;3.573%;3.468%;3.478%;3.577%;3.733%;3.929%;3.959%
2025-07-28;3.933%;3.616%;3.519%;3.541%;3.646%;3.809%;4.010%;4.045%
2025-07-25;3.931%;3.612%;3.513%;3.529%;3.630%;3.788%;3.985%;4.017%
2025-07-24;3.939%;3.610%;3.514%;3.539%;3.643%;3.802%;4.003%;4.041%
2025-07-23;3.920%;3.580%;3.482%;3.510%;3.620%;3.786%;3.992%;4.035%
2025-07-22;3.900%;3.534%;3.430%;3.461%;3.573%;3.741%;3.949%;3.994%
