Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;12,180;120;118;1,431,320;12,060;12,300;12,060;1,044,703;5,484,688
2025-09-18;12,060;0;67;819,620;12,060;12,060;12,060;1,034,410;5,430,652
2025-09-17;12,060;0;473;5,704,380;12,060;12,060;12,060;1,034,410;5,430,652
2025-09-16;12,060;40;1,824;22,169,300;12,260;12,260;12,060;1,034,410;5,430,652
2025-09-15;12,100;0;217;2,630,320;12,200;12,200;12,100;1,037,841;5,448,664
2025-09-12;12,100;0;226;2,734,600;12,100;12,100;12,100;1,037,841;5,448,664
2025-09-11;12,100;0;413;4,996,980;12,100;12,100;12,000;1,037,841;5,448,664
2025-09-10;12,100;100;22;265,200;12,000;12,100;12,000;1,037,841;5,448,664
2025-09-09;12,000;100;972;11,708,000;12,100;12,120;12,000;1,029,264;5,403,634
2025-09-08;12,100;80;225;2,704,740;11,980;12,160;11,980;1,037,841;5,448,664
2025-09-05;12,020;20;58;699,620;12,100;12,100;12,000;1,030,979;5,412,640
2025-09-04;12,000;100;58;705,220;12,100;12,140;12,000;1,029,264;5,403,634
2025-09-03;12,100;0;1,170;14,208,260;12,140;12,160;12,020;1,037,841;5,448,664
2025-09-02;12,100;40;608;7,310,020;12,000;12,140;12,000;1,037,841;5,448,664
2025-09-01;12,140;140;418;5,063,340;11,980;12,180;11,980;1,041,272;5,466,676
2025-08-29;12,000;0;755;9,155,580;12,000;12,180;12,000;1,029,264;5,403,634
2025-08-28;12,000;20;295;3,533,720;11,900;12,000;11,900;1,029,264;5,403,634
2025-08-27;11,980;60;1,203;14,340,820;11,920;11,980;11,900;1,027,548;5,394,628
2025-08-26;11,920;40;860;10,272,440;11,960;12,100;11,920;1,022,402;5,367,610
2025-08-25;11,960;80;757;9,080,140;12,160;12,160;11,960;1,025,833;5,385,622
2025-08-22;12,040;0;76;914,840;12,040;12,040;12,020;1,032,694;5,421,646
2025-08-21;12,040;0;616;7,404,420;12,040;12,040;12,000;1,032,694;5,421,646
2025-08-20;12,040;20;225;2,707,740;12,180;12,180;12,020;1,032,694;5,421,646
2025-08-19;12,020;100;838;10,086,820;12,020;12,080;12,020;1,030,979;5,412,640
2025-08-18;12,120;60;380;4,590,600;12,060;12,120;12,020;1,039,556;5,457,670
2025-08-15;12,060;20;326;3,939,180;12,060;12,180;12,060;1,034,410;5,430,652
2025-08-14;12,040;0;82;987,880;12,100;12,100;12,040;1,032,694;5,421,646
2025-08-13;12,040;0;234;2,818,120;12,060;12,060;12,020;1,032,694;5,421,646
2025-08-12;12,040;20;215;2,582,120;12,100;12,100;11,800;1,032,694;5,421,646
2025-08-11;12,020;0;649;7,800,980;12,020;12,020;12,020;1,030,979;5,412,640
2025-08-08;12,020;20;255;3,058,040;12,080;12,080;11,960;1,030,979;5,412,640
2025-08-07;12,000;20;361;4,331,900;12,080;12,080;11,720;1,029,264;5,403,634
2025-08-06;12,020;0;347;4,164,480;12,000;12,020;12,000;1,030,979;5,412,640
2025-08-05;12,020;140;959;11,301,600;11,740;12,080;11,740;1,030,979;5,412,640
2025-08-04;12,160;60;835;10,024,640;12,100;12,320;12,000;1,042,987;5,475,682
2025-08-01;12,100;0;797;9,662,720;12,140;12,140;12,100;1,037,841;5,448,664
2025-07-31;12,100;20;167;2,018,340;12,000;12,120;12,000;1,037,841;5,448,664
2025-07-30;12,080;0;420;5,073,600;12,080;12,080;12,080;1,036,125;5,439,658
2025-07-29;12,080;0;678;8,190,240;12,080;12,080;12,080;1,036,125;5,439,658
2025-07-28;12,080;120;1,938;23,539,860;11,960;12,280;11,960;1,036,125;5,439,658
2025-07-25;11,960;20;897;10,762,320;12,000;12,160;11,940;1,025,833;5,385,622
2025-07-24;11,980;120;417;5,025,940;12,100;12,100;11,980;1,027,548;5,394,628
2025-07-23;12,100;60;607;7,349,000;12,160;12,160;12,100;1,037,841;5,448,664
2025-07-22;12,160;80;438;5,291,200;12,080;12,160;12,080;1,042,987;5,475,682
2025-07-21;12,080;80;3,341;40,370,460;12,000;12,380;11,980;1,036,125;5,439,658
2025-07-18;12,000;0;411;4,931,980;12,000;12,000;11,980;1,029,264;5,403,634
2025-07-17;12,000;0;347;4,163,760;12,000;12,000;11,980;1,029,264;5,403,634
2025-07-16;12,000;0;352;4,221,960;11,980;12,000;11,960;1,029,264;5,403,634
2025-07-15;12,000;0;1,570;18,849,460;12,000;12,000;11,980;1,029,264;5,403,634
2025-07-14;12,000;0;355;4,295,440;12,160;12,160;12,000;1,029,264;5,403,634
2025-07-11;12,000;0;444;5,304,320;12,100;12,100;11,820;1,029,264;5,403,634
2025-07-10;12,000;0;667;8,002,360;12,000;12,020;11,900;1,029,264;5,403,634
2025-07-09;12,000;20;346;4,165,700;12,020;12,020;11,820;1,029,264;5,403,634
2025-07-08;12,020;60;1,562;18,738,200;11,980;12,020;11,960;1,030,979;5,412,640
2025-07-07;11,960;40;19,279;231,822,780;11,920;12,080;11,920;1,025,833;5,385,622
2025-07-04;11,920;40;9,553;113,768,700;11,880;11,940;11,820;1,022,402;5,367,610
2025-07-03;11,880;0;6,851;81,463,580;11,880;11,900;11,760;1,018,971;5,349,598
2025-07-02;11,880;440;4,036;48,065,520;12,000;12,100;11,840;1,018,971;5,349,598
2025-07-01;12,320;40;2,631;32,287,360;12,360;12,380;11,900;1,056,711;5,547,731
2025-06-30;12,360;40;339;4,186,000;12,360;12,360;12,300;1,060,142;5,565,743
2025-06-27;12,320;40;957;11,713,520;12,280;12,320;12,200;1,056,711;5,547,731
2025-06-26;12,280;0;1,732;21,284,860;12,200;12,300;12,200;1,053,280;5,529,719
2025-06-25;12,280;40;2,315;28,151,900;12,320;12,320;12,100;1,053,280;5,529,719
2025-06-24;12,320;20;2,396;29,480,900;12,300;12,320;12,300;1,056,711;5,547,731
2025-06-23;12,300;80;2,002;24,659,060;12,380;12,380;12,260;1,054,995;5,538,725
2025-06-20;12,380;0;3,294;40,794,220;12,400;12,400;12,380;1,061,857;5,574,749
2025-06-19;12,380;140;2,744;33,849,300;12,260;12,380;12,260;1,061,857;5,574,749
2025-06-17;12,240;20;1,057;12,947,740;12,300;12,300;12,220;1,049,849;5,511,707
2025-06-16;12,220;40;1,126;13,746,580;12,200;12,240;12,200;1,048,133;5,502,701
2025-06-13;12,180;100;1,368;16,730,120;12,100;12,260;12,100;1,044,703;5,484,688
2025-06-12;12,080;20;1,459;17,547,560;12,100;12,120;12,000;1,036,125;5,439,658
2025-06-11;12,100;100;157;1,874,920;12,200;12,200;11,820;1,037,841;5,448,664
2025-06-10;12,200;0;131;1,586,940;11,820;12,220;11,820;1,046,418;5,493,695
2025-06-09;12,200;20;1,293;15,382,100;12,220;12,220;11,800;1,046,418;5,493,695
2025-06-06;12,220;100;173;2,117,880;12,120;12,260;12,120;1,048,133;5,502,701
2025-06-05;12,120;0;1,518;18,514,420;12,280;12,280;12,120;1,039,556;5,457,670
2025-06-04;12,120;120;578;7,013,620;12,180;12,180;11,920;1,039,556;5,457,670
2025-06-03;12,000;20;391;4,757,820;12,200;12,200;12,000;1,029,264;5,403,634
2025-06-02;11,980;0;94;1,124,120;11,900;11,980;11,900;1,027,548;5,394,628
2025-05-30;11,980;60;5,101;61,212,300;11,980;12,000;11,980;1,027,548;5,394,628
2025-05-29;11,920;60;445;5,331,060;11,980;12,000;11,920;1,022,402;5,367,610
2025-05-28;11,980;60;246;2,947,920;11,920;12,000;11,920;1,027,548;5,394,628
2025-05-27;11,920;20;766;9,168,460;12,020;12,020;11,920;1,022,402;5,367,610
2025-05-26;11,900;0;10,297;122,558,180;11,900;12,000;11,900;1,020,686;5,358,604
2025-05-23;11,900;120;340;4,030,900;11,800;11,900;11,780;1,020,686;5,358,604
2025-05-22;11,780;20;578;6,825,040;11,700;11,900;11,700;1,010,394;5,304,567
2025-05-21;11,800;0;1,306;15,415,700;11,820;12,000;11,780;1,012,109;5,313,573
