Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;2,660;20;210;546,600;2,600;2,660;2,600;199,354;199,354
2025-09-18;2,640;0;10;26,400;2,640;2,640;2,640;197,855;197,855
2025-09-17;2,640;0;112;294,610;2,640;2,650;2,520;197,855;197,855
2025-09-16;2,640;0;75;195,550;2,640;2,640;2,570;197,855;197,855
2025-09-15;2,640;0;372;983,310;2,640;2,700;2,640;197,855;197,855
2025-09-12;2,640;20;41;108,110;2,620;2,640;2,600;197,855;197,855
2025-09-11;2,620;40;1,080;3,024,460;2,830;2,830;2,620;196,356;196,356
2025-09-10;2,580;30;62;159,960;2,580;2,580;2,580;193,358;193,358
2025-09-09;2,550;10;680;1,749,320;2,540;2,590;2,540;191,110;191,110
2025-09-08;2,540;10;262;670,050;2,560;2,560;2,540;190,360;190,360
2025-09-05;2,530;40;73;186,120;2,570;2,580;2,530;189,611;189,611
2025-09-04;2,570;10;23;59,130;2,580;2,580;2,570;192,609;192,609
2025-09-03;2,580;20;398;992,170;2,600;2,600;2,400;193,358;193,358
2025-09-02;2,600;0;6;15,600;2,600;2,600;2,600;194,857;194,857
2025-09-01;2,600;0;7;18,200;2,600;2,600;2,600;194,857;194,857
2025-08-29;2,600;10;19;49,400;2,600;2,600;2,600;194,857;194,857
2025-08-28;2,610;30;112;289,290;2,580;2,610;2,580;195,606;195,606
2025-08-27;2,580;70;165;424,890;2,510;2,580;2,510;193,358;193,358
2025-08-26;2,510;140;3,157;7,873,720;2,650;2,650;2,400;188,112;188,112
2025-08-25;2,650;20;8;21,200;2,650;2,650;2,650;198,604;198,604
2025-08-22;2,670;70;325;835,810;2,500;2,750;2,500;200,103;200,103
2025-08-21;2,600;20;77;200,200;2,600;2,600;2,600;194,857;194,857
2025-08-20;2,620;50;352;914,170;2,650;2,650;2,590;196,356;196,356
2025-08-19;2,670;60;455;1,181,610;2,610;2,670;2,590;200,103;200,103
2025-08-18;2,610;90;1;2,610;2,610;2,610;2,610;195,606;195,606
2025-08-15;2,520;170;8;20,330;2,690;2,690;2,520;188,861;188,861
2025-08-14;2,690;10;4;10,760;2,690;2,690;2,690;201,602;201,602
2025-08-13;2,700;100;100;270,000;2,700;2,700;2,700;202,352;202,352
2025-08-12;2,600;0;256;667,500;2,600;2,670;2,600;194,857;194,857
2025-08-11;2,600;10;390;1,017,810;2,610;2,610;2,600;194,857;194,857
2025-08-08;2,610;50;11;29,240;2,670;2,670;2,600;195,606;195,606
2025-08-07;2,660;0;137;355,760;2,660;2,660;2,500;199,354;199,354
2025-08-06;2,660;20;43;114,400;2,680;2,680;2,660;199,354;199,354
2025-08-05;2,680;60;2;5,360;2,680;2,680;2,680;200,853;200,853
2025-08-04;2,620;50;1;2,620;2,620;2,620;2,620;196,356;196,356
2025-08-01;2,670;30;57;152,910;2,690;2,690;2,670;200,103;200,103
2025-07-31;2,700;0;240;648,000;2,700;2,700;2,700;202,352;202,352
2025-07-30;2,700;20;105;266,500;2,530;2,700;2,530;202,352;202,352
2025-07-29;2,680;30;100;268,000;2,680;2,680;2,680;200,853;200,853
2025-07-28;2,650;30;4;10,060;2,450;2,650;2,450;198,604;198,604
2025-07-25;2,620;90;2;5,320;2,700;2,700;2,620;196,356;196,356
2025-07-24;2,710;60;452;1,233,010;2,730;2,730;2,650;203,101;203,101
2025-07-23;2,650;30;83;218,410;2,640;2,650;2,620;198,604;198,604
2025-07-22;2,620;40;93;244,320;2,640;2,640;2,620;196,356;196,356
2025-07-21;2,660;20;286;743,780;2,570;2,680;2,570;199,354;199,354
2025-07-18;2,640;10;162;417,680;2,650;2,660;2,550;197,855;197,855
2025-07-17;2,650;30;120;308,470;2,520;2,650;2,520;198,604;198,604
2025-07-16;2,680;110;157;421,750;2,690;2,690;2,670;200,853;200,853
2025-07-15;2,570;10;26;67,070;2,660;2,660;2,560;192,609;192,609
2025-07-14;2,560;70;151;397,000;2,630;2,680;2,540;191,859;191,859
2025-07-11;2,630;10;395;1,005,900;2,500;2,630;2,500;197,105;197,105
2025-07-10;2,640;10;4;10,630;2,690;2,690;2,610;197,855;197,855
