Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;2,070;10;1,399;2,873,910;2,050;2,070;2,050;148,781;148,781
2025-09-18;2,060;0;4,348;8,942,730;2,060;2,060;2,050;148,063;148,063
2025-09-17;2,060;0;3,291;6,756,700;2,060;2,060;2,050;148,063;148,063
2025-09-16;2,060;0;3,885;7,961,770;2,060;2,060;2,040;148,063;148,063
2025-09-15;2,060;0;4,659;9,550,290;2,060;2,060;2,040;148,063;148,063
2025-09-12;2,060;10;2,781;5,711,010;2,070;2,070;2,050;148,063;148,063
2025-09-11;2,070;0;2,474;5,096,980;2,070;2,070;2,050;148,781;148,781
2025-09-10;2,070;0;7,529;15,524,370;2,060;2,070;2,060;148,781;148,781
2025-09-09;2,070;0;53,886;105,533,030;2,070;2,070;2,060;148,781;148,781
2025-09-08;2,070;10;52,158;101,942,040;2,070;2,070;2,050;148,781;148,781
2025-09-05;2,060;10;7,718;15,845,630;2,050;2,070;2,050;148,063;148,063
2025-09-04;2,050;0;12,413;25,321,530;2,050;2,050;2,030;147,344;147,344
2025-09-03;2,050;0;2,135;4,358,980;2,050;2,050;2,040;147,344;147,344
2025-09-02;2,050;0;1,665;3,403,520;2,050;2,050;2,040;147,344;147,344
2025-09-01;2,050;0;4,304;8,788,340;2,050;2,050;2,040;147,344;147,344
2025-08-29;2,050;0;9,873;20,145,200;2,050;2,050;2,040;147,344;147,344
2025-08-28;2,050;0;7,607;15,538,510;2,050;2,060;2,040;147,344;147,344
2025-08-27;2,050;0;10,054;20,547,060;2,050;2,060;2,040;147,344;147,344
2025-08-26;2,050;10;4,600;9,449,850;2,060;2,070;2,050;147,344;147,344
2025-08-25;2,060;10;3,106;6,369,560;2,050;2,060;2,040;148,063;148,063
2025-08-22;2,050;0;2,421;4,968,990;2,060;2,060;2,050;147,344;147,344
2025-08-21;2,050;0;11,143;22,754,100;2,040;2,050;2,040;147,344;147,344
2025-08-20;2,050;20;18,111;37,186,590;2,070;2,070;2,050;147,344;147,344
2025-08-19;2,070;0;4,548;9,380,730;2,060;2,070;2,060;148,781;148,781
2025-08-18;2,070;0;15,881;32,774,310;2,070;2,080;2,060;148,781;148,781
2025-08-15;2,070;0;61,546;122,402,840;2,070;2,080;2,070;148,781;148,781
2025-08-14;2,070;10;11,068;22,933,090;2,080;2,080;2,070;148,781;148,781
2025-08-13;2,080;10;9,060;18,853,290;2,090;2,090;2,080;149,500;149,500
2025-08-12;2,090;10;61,287;122,030,290;2,090;2,100;2,080;150,219;150,219
2025-08-11;2,100;10;19,379;40,556,600;2,090;2,100;2,090;150,938;150,938
2025-08-08;2,090;10;6,637;13,870,530;2,090;2,100;2,080;150,219;150,219
2025-08-07;2,100;10;5,444;11,372,980;2,090;2,100;2,070;150,938;150,938
2025-08-06;2,090;10;63,249;125,989,850;2,090;2,090;2,070;150,219;150,219
2025-08-05;2,100;0;10,648;22,123,260;2,070;2,100;2,070;150,938;150,938
2025-08-04;2,100;0;7,932;16,588,810;2,100;2,100;2,090;150,938;150,938
2025-08-01;2,100;20;124,981;249,353,250;2,110;2,120;2,090;150,938;150,938
2025-07-31;2,120;0;1,568;3,306,160;2,100;2,120;2,100;152,375;152,375
2025-07-30;2,120;10;9,492;19,865,020;2,130;2,130;2,090;152,375;152,375
2025-07-29;2,130;30;1,726;3,625,950;2,100;2,130;2,100;153,094;153,094
2025-07-28;2,100;10;2,080;4,372,440;2,100;2,130;2,090;150,938;150,938
2025-07-25;2,110;0;10,069;21,129,120;2,100;2,120;2,090;151,656;151,656
2025-07-24;2,110;10;3,355;7,071,080;2,120;2,120;2,100;151,656;151,656
2025-07-23;2,120;0;1,305;2,759,700;2,120;2,120;2,110;152,375;152,375
2025-07-22;2,120;0;1,688;3,552,250;2,120;2,120;2,100;152,375;152,375
2025-07-21;2,120;0;1,880;3,971,950;2,100;2,120;2,100;152,375;152,375
2025-07-18;2,120;0;939;1,985,980;2,120;2,120;2,110;152,375;152,375
2025-07-17;2,120;20;2,051;4,325,970;2,100;2,120;2,100;152,375;152,375
2025-07-16;2,100;10;1,887;3,969,510;2,110;2,110;2,100;150,938;150,938
2025-07-15;2,110;10;7,892;16,626,760;2,120;2,120;2,100;151,656;151,656
2025-07-14;2,120;10;308;653,740;2,110;2,120;2,100;152,375;152,375
2025-07-11;2,110;10;6,410;13,457,850;2,100;2,110;2,090;151,656;151,656
2025-07-10;2,100;0;1,347;2,826,660;2,100;2,100;2,090;150,938;150,938
2025-07-09;2,100;0;1,957;4,095,590;2,090;2,100;2,090;150,938;150,938
2025-07-08;2,100;10;10,160;21,336,370;2,110;2,110;2,090;150,938;150,938
2025-07-07;2,110;0;7,560;15,876,550;2,100;2,120;2,090;151,656;151,656
2025-07-04;2,110;0;24,609;51,679,390;2,100;2,110;2,090;151,656;151,656
2025-07-03;2,110;10;13,251;27,826,760;2,110;2,110;2,090;151,656;151,656
2025-07-02;2,120;20;9,619;20,187,410;2,100;2,120;2,090;152,375;152,375
2025-07-01;2,100;10;23,709;49,788,290;2,110;2,110;2,090;150,938;150,938
2025-06-30;2,110;10;4,014;8,429,990;2,110;2,110;2,090;151,656;151,656
2025-06-27;2,100;10;6,686;14,061,560;2,110;2,130;2,100;150,938;150,938
2025-06-26;2,110;0;5,157;10,831,470;2,110;2,110;2,090;151,656;151,656
2025-06-25;2,110;0;2,681;5,633,800;2,120;2,120;2,090;151,656;151,656
2025-06-24;2,110;0;12,001;25,209,930;2,110;2,120;2,090;151,656;151,656
2025-06-23;2,110;10;5,397;11,349,220;2,120;2,120;2,100;151,656;151,656
2025-06-20;2,120;0;8,421;17,695,830;2,130;2,130;2,090;152,375;152,375
2025-06-19;2,120;10;7,503;15,764,740;2,100;2,130;2,090;152,375;152,375
2025-06-17;2,130;10;9,314;19,618,290;2,130;2,130;2,090;153,094;153,094
2025-06-16;2,120;10;16,509;34,728,930;2,120;2,130;2,100;152,375;152,375
2025-06-13;2,130;10;11,520;24,199,940;2,100;2,130;2,090;153,094;153,094
2025-06-12;2,120;10;3,744;7,852,940;2,120;2,120;2,090;152,375;152,375
2025-06-11;2,130;10;6,510;13,667,200;2,090;2,130;2,090;153,094;153,094
2025-06-10;2,120;30;610;1,287,000;2,120;2,120;2,100;152,375;152,375
2025-06-09;2,090;30;5,491;11,529,780;2,120;2,120;2,090;150,219;150,219
2025-06-06;2,120;0;2,432;5,112,980;2,120;2,130;2,100;152,375;152,375
2025-06-05;2,120;0;4,108;8,644,250;2,110;2,130;2,100;152,375;152,375
