Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2025-09-19;6,200;0;881;5,461,180;6,200;6,220;6,180;539,234;2,964,059
2025-09-18;6,200;0;2,270;14,035,960;6,180;6,200;6,160;539,234;2,964,059
2025-09-17;6,200;0;2,974;18,383,420;6,200;6,200;6,160;539,234;2,964,059
2025-09-16;6,200;0;7,172;44,318,600;6,180;6,200;6,160;539,234;2,964,059
2025-09-15;6,200;0;4,429;27,367,220;6,180;6,200;6,160;539,234;2,964,059
2025-09-12;6,200;20;9,223;57,086,880;6,220;6,220;6,160;539,234;2,964,059
2025-09-11;6,220;0;869;5,401,240;6,200;6,280;6,200;540,973;2,973,621
2025-09-10;6,220;0;3,443;21,349,660;6,220;6,220;6,200;540,973;2,973,621
2025-09-09;6,220;0;2,430;15,033,560;6,240;6,240;6,160;540,973;2,973,621
2025-09-08;6,220;20;2,932;18,201,940;6,200;6,240;6,200;540,973;2,973,621
2025-09-05;6,200;20;1,073;6,670,820;6,220;6,240;6,200;539,234;2,964,059
2025-09-04;6,220;20;4,606;28,595,480;6,240;6,240;6,200;540,973;2,973,621
2025-09-03;6,240;0;648;4,040,920;6,260;6,260;6,220;542,713;2,983,182
2025-09-02;6,240;0;6,232;38,878,140;6,240;6,240;6,200;542,713;2,983,182
2025-09-01;6,240;0;1,620;10,096,020;6,240;6,240;6,220;542,713;2,983,182
2025-08-29;6,240;20;1,022;6,354,520;6,220;6,240;6,200;542,713;2,983,182
2025-08-28;6,220;20;705;4,390,680;6,240;6,240;6,220;540,973;2,973,621
2025-08-27;6,240;0;318;1,983,540;6,240;6,240;6,220;542,713;2,983,182
2025-08-26;6,240;20;1,554;9,647,820;6,260;6,260;6,200;542,713;2,983,182
2025-08-25;6,260;40;12,559;78,812,940;6,220;6,320;6,200;544,452;2,992,744
2025-08-22;6,220;0;2,726;16,873,400;6,220;6,220;6,180;540,973;2,973,621
