Date;Based On;Group;Averaged Spread (bp);Averaged Spread (bp);Averaged Spread (bp);Standard Deviation (bp);Standard Deviation (bp);Standard Deviation (bp);Averaged Maturity;Averaged Maturity;Averaged Maturity
Date;Based On;Group;<= 3 Yrs.;3 - 5 Yrs.;> 5 Yrs.;<= 3 Yrs.;3 - 5 Yrs.;> 5 Yrs.;<= 3 Yrs.;3 - 5 Yrs.;> 5 Yrs.
2025-09-23;Maturity;AAA;37.892944;72.969666;86.011283;25.813858;39.015459;45.711372;1.326701;3.878595;8.149841
2025-09-23;Maturity;AA+;43.505291;73.945850;83.109810;35.519963;30.036517;12.602094;1.240182;4.321765;8.023744
2025-09-23;Maturity;AA;33.912150;64.384723;105.462870;15.875861;14.775973;19.509290;1.323679;3.843248;7.629589
2025-09-23;Maturity;AA-;43.678775;70.465802;106.736344;23.178336;15.681950;19.882525;1.605694;3.925446;7.436551
2025-09-23;Maturity;A+;85.789659;135.258468;156.838983;34.824854;44.997242;44.536919;1.429480;3.981022;7.659612
2025-09-23;Maturity;A;71.259203;105.539129;137.750022;27.102282;29.054570;23.960856;1.577042;3.944924;7.036767
2025-09-23;Maturity;A-;144.053280;197.422240;212.494802;59.444079;51.409577;46.777753;1.414209;3.965015;7.095950
2025-09-23;Maturity;BBB+;219.974789;273.602593;251.283253;63.041587;76.238132;42.814453;1.440722;3.788235;7.351198
2025-09-23;Maturity;BBB;288.650525;345.578178;474.363512;66.548656;59.276492;2.333080;1.480426;3.817808;6.086758
2025-09-23;Maturity;BBB-;378.989837;-;-;53.351500;-;-;1.371888;-;-
2025-09-23;Duration;AAA;37.982995;81.867695;82.480304;25.384926;42.005253;46.663150;1.384648;4.060273;8.399771
2025-09-23;Duration;AA+;43.441133;73.529575;86.014564;35.565953;26.819191;13.805716;1.240182;4.495641;8.446153
2025-09-23;Duration;AA;34.831573;67.225271;106.221281;16.840546;19.389388;24.694590;1.373439;3.986105;8.258219
2025-09-23;Duration;AA-;45.220267;75.236532;111.702865;22.712922;15.148142;19.135082;1.759144;4.327604;7.807044
2025-09-23;Duration;A+;88.672543;135.409875;160.787671;36.949501;46.809863;44.687341;1.512735;4.326899;8.030794
2025-09-23;Duration;A;71.316021;114.541076;139.184717;27.173395;27.667354;26.880414;1.618412;4.288981;7.476849
2025-09-23;Duration;A-;147.341526;196.426797;218.957862;60.380671;49.592156;48.441733;1.510428;4.283145;7.561844
2025-09-23;Duration;BBB+;221.067063;273.479414;253.831716;63.806509;73.375013;43.931011;1.495950;4.098458;7.649706
2025-09-23;Duration;BBB;291.453886;361.985313;482.514799;68.823632;74.637601;-;1.514532;4.121544;8.052054
2025-09-23;Duration;BBB-;378.731527;-;-;53.493035;-;-;1.371888;-;-
2025-09-18;Maturity;AAA;37.779989;72.976290;88.919502;25.889899;39.024372;45.741717;1.340399;3.892294;8.163540
2025-09-18;Maturity;AA+;43.764834;73.869912;82.692953;35.466934;30.088137;12.291098;1.253881;4.335464;8.037442
2025-09-18;Maturity;AA;35.990005;63.582597;105.321785;16.092685;14.572933;19.464073;1.288315;3.800182;7.643287
2025-09-18;Maturity;AA-;43.792722;70.991923;107.024511;22.587169;15.412064;19.506617;1.561592;3.939144;7.450250
2025-09-18;Maturity;A+;87.087380;134.470954;157.271495;34.098130;43.990706;43.865515;1.443179;3.994721;7.673311
2025-09-18;Maturity;A;71.628172;105.917771;138.012925;26.849163;28.951933;24.231339;1.590740;3.958623;7.050465
2025-09-18;Maturity;A-;143.627981;197.672482;212.454652;59.626309;51.513233;46.051591;1.419129;3.978714;7.109648
2025-09-18;Maturity;BBB+;218.519969;272.960958;249.702271;64.107069;76.876212;44.591906;1.439094;3.801933;7.364897
2025-09-18;Maturity;BBB;288.167992;344.126951;444.361368;66.141764;57.291751;10.714922;1.494124;3.831506;6.100456
2025-09-18;Maturity;BBB-;378.839594;-;-;53.446994;-;-;1.385586;-;-
2025-09-18;Duration;AAA;37.749343;79.646915;85.996192;25.648967;41.552099;46.601502;1.369686;4.017808;8.413470
2025-09-18;Duration;AA+;43.694500;73.361783;85.262593;35.474516;28.270801;13.437709;1.253881;4.415068;8.245009
2025-09-18;Duration;AA;37.301172;67.222748;106.292031;16.911672;19.387550;24.936563;1.387138;3.999804;8.271917
2025-09-18;Duration;AA-;45.369644;76.557556;111.530912;22.213430;15.923239;19.728855;1.715718;4.341303;7.820743
2025-09-18;Duration;A+;89.417907;134.822144;161.624070;36.049408;45.400375;44.058772;1.509534;4.315616;8.044493
2025-09-18;Duration;A;71.644313;113.364827;140.368088;26.922336;27.068270;26.832816;1.632111;4.243711;7.400521
2025-09-18;Duration;A-;146.809692;195.414680;219.017127;60.912887;49.476830;47.888344;1.494063;4.256575;7.575542
2025-09-18;Duration;BBB+;219.623433;272.440129;252.509651;64.821131;74.418707;45.614759;1.494222;4.112157;7.663405
2025-09-18;Duration;BBB;290.628073;355.752139;459.268598;67.843528;64.981802;-;1.528231;4.135242;8.065753
2025-09-18;Duration;BBB-;378.572050;-;-;53.671238;-;-;1.385586;-;-
2025-09-17;Maturity;AAA;37.964273;73.011094;89.451677;25.928598;38.959026;45.735540;1.343139;3.895034;8.166280
2025-09-17;Maturity;AA+;43.987276;73.836100;82.632787;35.255656;30.072832;12.264998;1.256620;4.338203;8.040182
2025-09-17;Maturity;AA;35.946179;63.560918;105.335539;16.052292;14.591744;19.434433;1.291055;3.802922;7.646027
2025-09-17;Maturity;AA-;52.912205;80.102925;121.866709;31.139622;29.565980;36.314729;1.548029;3.910526;7.463980
2025-09-17;Maturity;A+;83.574669;131.316673;148.418057;34.168648;46.114435;43.060344;1.441617;4.038280;7.710844
2025-09-17;Maturity;A;71.846515;106.850011;138.364789;26.922911;29.465954;24.424088;1.593480;3.961362;7.053205
2025-09-17;Maturity;A-;143.692444;197.664598;212.302158;59.491128;51.524233;46.116036;1.421869;3.981454;7.112388
2025-09-17;Maturity;BBB+;218.649956;272.959198;249.633873;63.762758;76.881151;44.535079;1.441834;3.804673;7.367637
2025-09-17;Maturity;BBB;287.676492;343.751533;430.714900;66.111458;56.807511;12.329615;1.496864;3.834246;6.103196
2025-09-17;Maturity;BBB-;378.743414;-;-;53.407606;-;-;1.388326;-;-
2025-09-17;Duration;AAA;37.925143;79.656765;86.451943;25.692474;41.484586;46.263856;1.372426;4.020547;8.416210
2025-09-17;Duration;AA+;43.916280;73.346046;85.311909;35.271200;28.314526;13.260754;1.256620;4.417808;8.247749
2025-09-17;Duration;AA;37.261137;67.182827;106.641807;16.880134;19.442757;25.215193;1.389878;4.002543;8.274657
2025-09-17;Duration;AA-;54.404017;88.409430;125.964504;31.455810;32.287489;36.748612;1.697678;4.344292;7.865689
2025-09-17;Duration;A+;85.676648;129.879969;153.232829;36.194572;46.603767;43.109292;1.498661;4.314155;8.046640
2025-09-17;Duration;A;71.852424;115.472340;140.193782;26.981810;28.362731;26.985511;1.634851;4.275312;7.448579
2025-09-17;Duration;A-;146.842163;195.499110;219.257880;60.758337;49.515943;47.968689;1.496803;4.259314;7.578282
2025-09-17;Duration;BBB+;219.743892;272.433975;252.856850;64.492252;74.424061;45.664516;1.496962;4.114897;7.666144
2025-09-17;Duration;BBB;290.057857;353.155893;449.173666;67.677144;61.396492;-;1.530970;4.137982;8.068493
2025-09-17;Duration;BBB-;378.476632;-;-;53.523719;-;-;1.388326;-;-
2025-09-16;Maturity;AAA;37.822081;73.086049;89.435059;25.873367;38.858372;45.758683;1.345879;3.897773;8.169020
2025-09-16;Maturity;AA+;43.827585;73.991294;82.592795;35.284242;29.923360;12.197506;1.259360;4.340943;8.042922
2025-09-16;Maturity;AA;35.420312;63.614703;105.367719;15.829038;14.579768;19.455222;1.293795;3.805662;7.648767
2025-09-16;Maturity;AA-;52.729227;79.925023;121.916266;31.055007;29.799092;36.390046;1.550769;3.913266;7.466720
2025-09-16;Maturity;A+;83.365990;131.343800;147.901823;33.860815;46.088889;43.535389;1.428299;4.041019;7.713584
2025-09-16;Maturity;A;72.823444;107.233452;137.816779;27.152754;30.945520;25.481476;1.596220;3.936769;7.056024
2025-09-16;Maturity;A-;143.768353;197.694329;212.158413;59.627564;51.530581;46.124096;1.424609;3.984193;7.115128
2025-09-16;Maturity;BBB+;218.493027;272.940843;249.542876;63.762373;76.810258;44.493660;1.444574;3.807413;7.370376
2025-09-16;Maturity;BBB;285.041725;345.803267;416.120583;64.709315;53.714372;12.097278;1.465442;3.761145;6.105936
2025-09-16;Maturity;BBB-;378.379624;-;-;53.539380;-;-;1.391066;-;-
2025-09-16;Duration;AAA;37.802198;79.835780;86.394125;25.648625;41.451855;46.279805;1.375165;4.023287;8.418949
2025-09-16;Duration;AA+;43.778090;73.614782;85.764534;35.309128;28.222912;13.977996;1.259360;4.420548;8.250489
2025-09-16;Duration;AA;36.817216;67.320155;105.315597;16.765544;19.494860;23.614306;1.392618;4.005283;8.277397
2025-09-16;Duration;AA-;54.282087;88.746800;125.791481;31.405897;32.731049;37.322717;1.700418;4.347031;7.868429
2025-09-16;Duration;A+;85.497374;130.070304;152.512071;35.908234;46.620370;43.641491;1.485242;4.316894;8.049380
2025-09-16;Duration;A;72.839537;115.892632;139.844516;27.213175;29.451107;28.547618;1.637591;4.260585;7.462397
2025-09-16;Duration;A-;146.982268;195.733130;218.933758;60.915702;49.564623;47.957677;1.499543;4.262054;7.581022
2025-09-16;Duration;BBB+;219.654473;272.652587;252.861389;64.532636;74.404928;45.706746;1.499702;4.117637;7.668884
2025-09-16;Duration;BBB;289.346051;350.670564;434.646076;66.689487;58.191727;-;1.533710;4.140722;8.071232
2025-09-16;Duration;BBB-;378.197056;-;-;53.678591;-;-;1.391066;-;-
2025-09-12;Maturity;AAA;37.187716;75.621364;89.911298;25.321237;37.380774;46.012385;1.329406;3.855439;8.179978
2025-09-12;Maturity;AA+;44.272352;73.819573;83.349921;35.104131;30.073638;13.110173;1.270319;4.351902;8.053881
2025-09-12;Maturity;AA;39.335987;64.572106;105.246835;17.825733;14.436540;19.552965;1.304754;3.816621;7.659726
2025-09-12;Maturity;AA-;53.011350;79.031569;122.300483;31.146738;30.067125;38.829212;1.539169;3.840947;7.384388
2025-09-12;Maturity;A+;83.594387;131.448304;148.357571;33.146637;46.021864;43.461737;1.439258;4.051978;7.724543
2025-09-12;Maturity;A;73.359645;108.361094;140.086895;26.690572;30.500174;26.327657;1.594059;3.923709;7.111745
2025-09-12;Maturity;A-;142.427140;200.420423;215.964082;58.783645;51.386600;45.399184;1.405935;3.958701;7.126087
2025-09-12;Maturity;BBB+;219.137105;275.254400;250.161399;63.465513;77.427660;45.147573;1.455533;3.818372;7.381335
2025-09-12;Maturity;BBB;284.996498;340.418015;396.356162;64.069557;53.640802;12.600714;1.476401;3.847945;6.116895
2025-09-12;Maturity;BBB-;379.069009;-;-;53.363535;-;-;1.402025;-;-
2025-09-12;Duration;AAA;38.107305;78.536656;86.917227;26.219589;40.568620;46.774937;1.356837;3.983561;8.429908
2025-09-12;Duration;AA+;44.208083;73.386901;85.986128;35.145232;28.275715;13.744087;1.270319;4.431506;8.261448
2025-09-12;Duration;AA;40.447610;68.378450;106.136147;18.253319;19.003173;24.673273;1.403576;4.016242;8.288356
2025-09-12;Duration;AA-;54.716858;88.564598;128.471100;31.304733;32.216711;39.700017;1.711377;4.387876;7.934768
2025-09-12;Duration;A+;85.669589;130.118159;153.041319;35.250287;46.500160;43.362973;1.496201;4.327853;8.060339
2025-09-12;Duration;A;73.366962;116.449516;141.987212;26.504485;30.001477;28.634238;1.634620;4.229887;7.485072
2025-09-12;Duration;A-;146.981570;197.496712;221.888367;60.960070;49.532631;47.115462;1.501630;4.273013;7.591981
2025-09-12;Duration;BBB+;220.236805;275.704255;252.326735;64.254085;75.273237;45.328717;1.510661;4.128595;7.679843
2025-09-12;Duration;BBB;286.778259;347.101043;413.105055;64.736336;54.461864;-;1.512024;4.151681;8.082191
2025-09-12;Duration;BBB-;378.768254;-;-;53.507555;-;-;1.402025;-;-
2025-09-11;Maturity;AAA;37.280488;74.339535;87.691025;25.381310;38.158916;47.350635;1.332146;3.911472;8.280593
2025-09-11;Maturity;AA+;44.535683;74.066561;84.056048;35.027583;29.958091;12.618796;1.273059;4.354642;8.056620
2025-09-11;Maturity;AA;39.044255;65.612722;105.514651;18.508577;14.656965;19.583570;1.307493;3.819360;7.662465
2025-09-11;Maturity;AA-;53.362314;79.102059;122.510201;30.888337;30.124227;38.831805;1.541909;3.843687;7.387128
2025-09-11;Maturity;A+;83.837492;133.691308;151.103287;33.061311;44.741388;43.384727;1.441998;4.056125;7.693329
2025-09-11;Maturity;A;73.770358;108.539890;140.329792;26.584374;30.467702;26.338586;1.596799;3.926448;7.114485
2025-09-11;Maturity;A-;142.594544;201.173816;216.549368;58.847516;51.499517;44.864164;1.408675;3.941793;7.087139
2025-09-11;Maturity;BBB+;219.329007;275.399653;250.497937;63.502902;77.470328;45.206213;1.458273;3.821111;7.384075
2025-09-11;Maturity;BBB;284.848495;339.120374;382.420122;63.670233;52.919047;12.458368;1.479140;3.850684;6.119634
2025-09-11;Maturity;BBB-;379.375407;-;-;53.291135;-;-;1.404764;-;-
2025-09-11;Duration;AAA;37.212581;78.563659;84.176842;25.352018;40.627738;48.148213;1.332146;3.986301;8.562142
2025-09-11;Duration;AA+;44.458188;73.563935;86.720146;35.064751;28.267102;13.567110;1.273059;4.434246;8.264187
2025-09-11;Duration;AA;40.139012;69.490090;105.991627;18.879995;19.012082;24.408148;1.406316;4.018982;8.291095
2025-09-11;Duration;AA-;54.988163;88.657380;128.475320;31.046751;32.271488;39.821890;1.714117;4.390616;7.937508
2025-09-11;Duration;A+;85.873350;132.180608;156.067473;35.149377;45.507824;42.885095;1.498941;4.339149;8.040821
2025-09-11;Duration;A;73.739712;116.565518;141.933042;26.396922;29.958038;28.821885;1.637359;4.232627;7.487811
2025-09-11;Duration;A-;147.144704;198.334112;221.779228;61.008721;49.361741;47.168503;1.504370;4.275753;7.594721
2025-09-11;Duration;BBB+;220.379994;275.774478;252.246341;64.259584;75.279953;45.349694;1.513400;4.131335;7.682583
2025-09-11;Duration;BBB;286.252949;344.484023;399.021612;63.922279;52.352995;-;1.514764;4.154420;8.084931
2025-09-11;Duration;BBB-;379.015938;-;-;53.426825;-;-;1.404764;-;-
2025-09-10;Maturity;AAA;37.120442;73.926058;87.482295;25.514124;38.465994;47.650327;1.334885;3.914212;8.283333
2025-09-10;Maturity;AA+;44.522854;74.115605;84.104254;34.995919;29.932407;12.645755;1.275799;4.357381;8.059360
2025-09-10;Maturity;AA;39.482249;65.751590;105.537083;18.742652;14.542591;19.630958;1.310233;3.822100;7.665205
2025-09-10;Maturity;AA-;53.936416;79.143775;122.634005;30.912489;30.127735;38.874943;1.544649;3.846427;7.389868
