Date ;0.08-Yrs ;0.25-Yrs ;0.50-Yrs ;1.00-Yrs ;2.00-Yrs ;3.00-Yrs ;4.00-Yrs ;5.00-Yrs ;6.00-Yrs ;7.00-Yrs ;8.00-Yrs ;9.00-Yrs ;10.00-Yrs ;11.00-Yrs ;12.00-Yrs ;13.00-Yrs ;14.00-Yrs ;15.00-Yrs ;16.00-Yrs ;17.00-Yrs ;18.00-Yrs ;19.00-Yrs ;20.00-Yrs ;21.00-Yrs ;22.00-Yrs ;23.00-Yrs ;24.00-Yrs ;25.00-Yrs ;26.00-Yrs ;27.00-Yrs ;28.00-Yrs ;29.00-Yrs ;30.00-Yrs ;31.00-Yrs ;32.00-Yrs ;33.00-Yrs ;34.00-Yrs ;35.00-Yrs ;36.00-Yrs ;37.00-Yrs ;38.00-Yrs ;39.00-Yrs ;40.00-Yrs ;41.00-Yrs ;42.00-Yrs ;43.00-Yrs ;44.00-Yrs ;45.00-Yrs ;46.00-Yrs ;47.00-Yrs ;48.00-Yrs ;49.00-Yrs ;50.00-Yrs
2025-09-23;1.320773;1.317106;1.294418;1.278594;1.133990;1.144106;1.158233;1.165198;1.192197;1.261136;1.322277;1.345083;1.348255;1.392418;1.460918;1.530128;1.536785;1.570004;1.679800;1.783013;1.858700;1.909742;1.974219;2.051655;2.052055;2.052455;2.053411;2.056020;2.058628;2.062094;2.068140;2.074186;2.081812;2.094194;2.106576;2.118958;2.131341;2.143723;2.153423;2.154805;2.156187;2.157569;2.158951;2.161827;2.168537;2.172508;2.176479;2.180450;2.184421;;;;
2025-09-17;1.343618;1.344310;1.318955;1.289432;1.160101;1.152778;1.158453;1.176195;1.217047;1.301656;1.351298;1.382442;1.414494;1.463154;1.526967;1.612396;1.624931;1.663458;1.783797;1.893354;1.959980;1.998302;2.044215;2.098198;2.100467;2.102735;2.105924;2.112099;2.118273;2.123310;2.124602;2.125893;2.128845;2.137264;2.145683;2.154102;2.162521;2.170940;2.177662;2.178617;2.179572;2.180527;2.181482;2.183222;2.187970;2.193748;2.199527;2.205306;2.211085;;;;
2025-09-16;1.348146;1.346735;1.320498;1.291939;1.192581;1.203744;1.219275;1.247988;1.292782;1.368038;1.425148;1.447269;1.491230;1.564299;1.633159;1.673382;1.699845;1.742758;1.838235;1.938153;2.033114;2.066894;2.100231;2.124268;2.122807;2.121347;2.121813;2.128631;2.135448;2.143501;2.155691;2.167880;2.178408;2.183376;2.188345;2.193313;2.198282;2.203250;2.207255;2.207934;2.208612;2.209291;2.209970;2.214310;2.228918;2.234512;2.240106;2.245701;2.251295;;;;
2025-09-12;1.339386;1.335582;1.306282;1.282626;1.124231;1.137976;1.163700;1.185223;1.243515;1.318366;1.344300;1.371001;1.396887;1.442941;1.498301;1.567704;1.579028;1.610606;1.710995;1.812129;1.899287;1.930356;1.961327;1.985803;1.989029;1.992254;1.995287;1.997641;1.999995;2.004541;2.016893;2.029244;2.041403;2.052874;2.064345;2.075816;2.087287;2.098758;2.107825;2.108047;2.108269;2.108492;2.108714;2.109592;2.113807;2.121317;2.128827;2.136337;2.143848;;;;
2025-09-11;1.329168;1.327384;1.303473;1.277410;1.094614;1.098759;1.115167;1.131943;1.163147;1.223676;1.251637;1.271538;1.292044;1.348400;1.413065;1.475769;1.481594;1.506642;1.598031;1.699842;1.812899;1.840638;1.865708;1.879936;1.888985;1.898034;1.906094;1.910631;1.915168;1.921169;1.932467;1.943766;1.956640;1.975219;1.993798;2.012377;2.030956;2.049535;2.064141;2.063885;2.063630;2.063375;2.063119;2.063518;2.066419;2.069366;2.072313;2.075259;2.078206;;;;
2025-09-10;1.333049;1.327331;1.303395;1.273377;1.083298;1.089668;1.101715;1.114150;1.140836;1.197269;1.219703;1.235760;1.257386;1.309854;1.373688;1.443341;1.447086;1.470624;1.563562;1.661617;1.757485;1.782762;1.812830;1.851879;1.862147;1.872415;1.881056;1.883805;1.886555;1.890394;1.898238;1.906082;1.917285;1.940847;1.964409;1.987971;2.011532;2.035094;2.053777;2.053910;2.054042;2.054174;2.054306;2.054789;2.056968;2.060465;2.063961;2.067457;2.070953;;;;
2025-09-09;1.329660;1.320416;1.300266;1.270340;1.076169;1.079942;1.088400;1.101491;1.133782;1.185516;1.202190;1.217220;1.242996;1.290657;1.348207;1.421644;1.421016;1.441116;1.535055;1.627668;1.702088;1.728515;1.759534;1.801177;1.821099;1.841020;1.856902;1.857920;1.858937;1.860588;1.864608;1.868627;1.877580;1.904988;1.932396;1.959804;1.987212;2.014620;2.036351;2.036129;2.035907;2.035684;2.035462;2.036145;2.039897;2.041720;2.043544;2.045367;2.047191;;;;
2025-09-08;1.326915;1.318750;1.301299;1.271071;1.083721;1.084689;1.092012;1.108483;1.138121;1.187579;1.207916;1.228816;1.251010;1.297103;1.353208;1.425906;1.425251;1.444604;1.536391;1.627435;1.701730;1.725124;1.754688;1.800013;1.819786;1.839558;1.855406;1.856573;1.857740;1.859186;1.861694;1.864201;1.871990;1.899861;1.927733;1.955604;1.983475;2.011347;2.033567;2.033567;2.033567;2.033567;2.033566;2.034402;2.038191;2.040417;2.042643;2.044870;2.047096;;;;
2025-09-05;1.326249;1.318394;1.300429;1.271004;1.086020;1.085350;1.089591;1.105200;1.137741;1.181604;1.205094;1.226091;1.249414;1.293441;1.347878;1.424254;1.423353;1.441604;1.532687;1.622230;1.692466;1.711556;1.739948;1.795355;1.816119;1.836882;1.853810;1.855655;1.857500;1.859422;1.861656;1.863891;1.871188;1.898734;1.926280;1.953827;1.981373;2.008920;2.031107;2.031105;2.031102;2.031100;2.031097;2.031789;2.035219;2.037864;2.040509;2.043154;2.045798;;;;
2025-09-03;1.323869;1.319385;1.303979;1.271837;1.098449;1.097874;1.104306;1.122721;1.159766;1.200295;1.225981;1.247351;1.263140;1.304865;1.362246;1.443871;1.441078;1.456288;1.542288;1.628486;1.700846;1.715705;1.740793;1.797614;1.817714;1.837814;1.854404;1.856707;1.859010;1.861778;1.866476;1.871173;1.880120;1.906666;1.933213;1.959759;1.986305;2.012852;2.034360;2.034259;2.034157;2.034055;2.033954;2.034703;2.038466;2.039169;2.039872;2.040575;2.041278;;;;
2025-09-02;1.321412;1.321070;1.305811;1.270792;1.100329;1.106174;1.108540;1.126932;1.164277;1.203307;1.223647;1.248547;1.272076;1.313163;1.366731;1.448650;1.441993;1.455556;1.550000;1.638667;1.694273;1.710085;1.736834;1.798048;1.818395;1.838743;1.856177;1.861545;1.866913;1.872109;1.876580;1.881051;1.889451;1.914412;1.939374;1.964335;1.989297;2.014258;2.034521;2.034263;2.034006;2.033748;2.033490;2.034489;2.039925;2.040233;2.040541;2.040850;2.041158;;;;
2025-09-01;1.323274;1.322191;1.306202;1.273979;1.124059;1.122586;1.125012;1.144444;1.180671;1.225312;1.239871;1.266952;1.293008;1.332255;1.388083;1.469039;1.467723;1.484039;1.572110;1.655952;1.712098;1.725552;1.749195;1.806181;1.826533;1.846885;1.864443;1.870227;1.876012;1.881544;1.885996;1.890447;1.898671;1.923078;1.947484;1.971891;1.996298;2.020704;2.040590;2.040367;2.040145;2.039923;2.039700;2.040776;2.046706;2.047978;2.049249;2.050521;2.051793;;;;
