Date;AAA;AA;A;BBB;BB;B;CCC
2025-09-22;0.29;0.41;0.61;0.93;1.66;2.78;7.9
2025-09-19;0.29;0.41;0.61;0.93;1.68;2.82;7.97
2025-09-18;0.29;0.42;0.62;0.94;1.68;2.82;7.95
2025-09-17;0.31;0.43;0.63;0.96;1.74;2.88;8.08
2025-09-16;0.3;0.43;0.63;0.96;1.75;2.9;8.07
2025-09-15;0.29;0.42;0.62;0.95;1.72;2.85;7.94
2025-09-12;0.3;0.43;0.63;0.97;1.75;2.93;7.97
2025-09-11;0.31;0.44;0.64;0.98;1.74;2.91;7.92
2025-09-10;0.31;0.45;0.65;1.0;1.79;2.98;8.0
2025-09-09;0.32;0.45;0.66;1.01;1.82;3.01;8.05
2025-09-08;0.32;0.45;0.66;1.01;1.79;2.97;8.01
2025-09-05;0.31;0.44;0.66;1.0;1.79;2.95;8.03
2025-09-04;0.31;0.44;0.66;1.0;1.78;2.98;8.05
2025-09-03;0.32;0.45;0.67;1.02;1.82;3.02;8.06
2025-09-02;0.33;0.46;0.68;1.03;1.86;3.07;8.14
2025-09-01;0.33;0.45;0.68;1.02;1.79;2.98;7.98
2025-08-31;0.33;0.45;0.68;1.02;1.79;2.98;7.98
2025-08-29;nan;nan;nan;nan;nan;nan;nan
2025-08-28;0.3;0.44;0.65;0.99;1.72;2.81;7.83
2025-08-27;0.29;0.44;0.65;0.99;1.74;2.86;7.85
2025-08-26;0.29;0.43;0.64;0.98;1.72;2.89;7.89
2025-08-25;0.28;0.42;0.63;0.96;1.69;2.93;8.09
2025-08-22;0.29;0.43;0.64;0.97;1.76;3.04;8.17
2025-08-21;0.29;0.43;0.64;0.98;1.81;3.12;8.26
2025-08-20;0.3;0.43;0.64;0.98;1.81;3.1;8.24
2025-08-19;0.29;0.42;0.63;0.97;1.78;3.06;8.17
2025-08-18;0.28;0.41;0.62;0.96;1.76;3.04;8.16
2025-08-15;0.27;0.42;0.62;0.96;1.76;3.05;8.12
2025-08-14;0.29;0.42;0.63;0.97;1.78;3.07;8.11
2025-08-13;0.3;0.43;0.64;0.98;1.78;3.06;8.16
